Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B1-1-C_R1_001_val_1	B1-1-C_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49671663.0	0.0	20-150	44.0	38.089018372261755	129.49322737593866	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B1-1-C_R2_001_val_2	B1-1-C_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49671663.0	0.0	20-150	45.0	40.15339328489349	128.9832050519428	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
B2-1-KD_R1_001_val_1	B2-1-KD_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60787892.0	0.0	20-150	43.0	34.16119574089653	129.1908674181365	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B2-1-KD_R2_001_val_2	B2-1-KD_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60787892.0	0.0	20-150	45.0	36.40874113993115	128.74847361050124	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
B3-1-C-T_R1_001_val_1	B3-1-C-T_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73771071.0	0.0	20-150	45.0	32.252393441772014	128.29869952681045	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B3-1-C-T_R2_001_val_2	B3-1-C-T_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73771071.0	0.0	20-150	46.0	34.277330810993725	127.84684039628488	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
B4-1-KD-T_R1_001_val_1	B4-1-KD-T_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70092876.0	0.0	20-150	44.0	31.700420139148473	126.6751171830929	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B4-1-KD-T_R2_001_val_2	B4-1-KD-T_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70092876.0	0.0	20-150	46.0	33.863454018173165	126.2408971062908	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
C1-1-C_R1_001_val_1	C1-1-C_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86782508.0	0.0	20-150	44.0	47.038568812308085	136.4942198490046	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
C1-1-C_R2_001_val_2	C1-1-C_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86782508.0	0.0	20-150	46.0	48.87084831780155	135.86353676250056	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
C2-1-KD_R1_001_val_1	C2-1-KD_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76142499.0	0.0	20-150	44.0	50.52577416154802	133.21376244822224	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
C2-1-KD_R2_001_val_2	C2-1-KD_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76142499.0	0.0	20-150	45.0	50.97005919192426	132.72253385064232	pass	pass	fail	pass	fail	warn	pass	warn	warn	fail	pass
C3-1-C-T_R1_001_val_1	C3-1-C-T_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83467057.0	0.0	20-150	44.0	51.17902339897077	136.65393877491093	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
C3-1-C-T_R2_001_val_2	C3-1-C-T_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83467057.0	0.0	20-150	45.0	52.41519033248508	136.0884436478933	pass	pass	fail	pass	fail	warn	pass	warn	warn	fail	pass
C4-1-KD-T_R1_001_val_1	C4-1-KD-T_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89198345.0	0.0	20-150	44.0	50.274426200632725	133.11429768119578	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
C4-1-KD-T_R2_001_val_2	C4-1-KD-T_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89198345.0	0.0	20-150	45.0	51.71354607858941	132.58162520840494	pass	pass	fail	pass	fail	warn	pass	warn	warn	fail	pass
