Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B1-1-C_R1_001_val_1	61.910981627738245	44.0	129.49322737593866	27.27272727272727	49671663.0
B1-1-C_R2_001_val_2	59.84660671510651	45.0	128.9832050519428	36.36363636363637	49671663.0
B2-1-KD_R1_001_val_1	65.83880425910347	43.0	129.1908674181365	27.27272727272727	60787892.0
B2-1-KD_R2_001_val_2	63.59125886006885	45.0	128.74847361050124	36.36363636363637	60787892.0
B3-1-C-T_R1_001_val_1	67.74760655822799	45.0	128.29869952681045	27.27272727272727	73771071.0
B3-1-C-T_R2_001_val_2	65.72266918900627	46.0	127.84684039628488	36.36363636363637	73771071.0
B4-1-KD-T_R1_001_val_1	68.29957986085152	44.0	126.6751171830929	27.27272727272727	70092876.0
B4-1-KD-T_R2_001_val_2	66.13654598182683	46.0	126.2408971062908	36.36363636363637	70092876.0
C1-1-C_R1_001_val_1	52.961431187691915	44.0	136.4942198490046	27.27272727272727	86782508.0
C1-1-C_R2_001_val_2	51.12915168219845	46.0	135.86353676250056	36.36363636363637	86782508.0
C2-1-KD_R1_001_val_1	49.47422583845198	44.0	133.21376244822224	18.181818181818183	76142499.0
C2-1-KD_R2_001_val_2	49.02994080807574	45.0	132.72253385064232	27.27272727272727	76142499.0
C3-1-C-T_R1_001_val_1	48.82097660102923	44.0	136.65393877491093	18.181818181818183	83467057.0
C3-1-C-T_R2_001_val_2	47.58480966751492	45.0	136.0884436478933	27.27272727272727	83467057.0
C4-1-KD-T_R1_001_val_1	49.725573799367275	44.0	133.11429768119578	18.181818181818183	89198345.0
C4-1-KD-T_R2_001_val_2	48.28645392141059	45.0	132.58162520840494	27.27272727272727	89198345.0
