category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,10/116,212/9500,0.04716981132075472,3.863044892648016,4.6871507729667,2.575044699895247e-4,0.030127056615544906,0.025896389736184317,SIPA1L2/ITGB1/CDH1/SIPA1L3/PLCB1/ADCY5/PDGFRA/RAPGEF5/DOCK4/GNAQ,10
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,7/116,116/9500,0.0603448275862069,4.942033293697979,4.74929582554381,5.256502450323883e-4,0.030127056615544906,0.025896389736184317,CACNA1C/GNB5/PLCB1/SLC38A3/ADCY5/ITPR3/GNAQ,7
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,6/116,86/9500,0.06976744186046512,5.713712910986367,4.882015970541457,6.184242497829427e-4,0.030127056615544906,0.025896389736184317,CACNA1C/PLCB1/ADCY5/KCNMB2/ITPR3/GNAQ,6
Organismal Systems,Immune system,hsa04611,Platelet activation,7/116,126/9500,0.05555555555555555,4.549808429118773,4.459659007844088,8.612871575367315e-4,0.030127056615544906,0.025896389736184317,ITGB1/ARHGAP35/PLCB1/ADCY5/ITPR3/LYN/GNAQ,7
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,5/116,65/9500,0.07692307692307693,6.299734748010611,4.766655865606943,0.0011471436924108116,0.030127056615544906,0.025896389736184317,CACNA1C/PLCB1/ADCY5/ITPR3/GNAQ,5
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,6/116,97/9500,0.061855670103092786,5.06576608602915,4.4747520628228985,0.0011661663256479714,0.030127056615544906,0.025896389736184317,CACNA1C/GNB5/PLCB1/ADCY5/ITPR3/GNAQ,6
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,7/116,133/9500,0.05263157894736842,4.310344827586207,4.274376115394318,0.0011833158375433275,0.030127056615544906,0.025896389736184317,CACNA1C/GNB5/PLCB1/ADCY5/SLC6A3/ITPR3/GNAQ,7
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,6/116,98/9500,0.061224489795918366,5.014074595355384,4.440811021981948,0.0012300409367889096,0.030127056615544906,0.025896389736184317,CACNA1C/PRKCE/PLCB1/ADCY5/ITPR3/GNAQ,6
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,7/116,134/9500,0.05223880597014925,4.2781780751415335,4.248951782515604,0.0012361383367965593,0.030127056615544906,0.025896389736184317,CACNA1C/PRKCE/PLCB1/ADCY5/KCNMB2/ITPR3/GNAQ,7
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,5/116,67/9500,0.07462686567164178,6.111682964487905,4.668209448655692,0.0013155919919451925,0.030127056615544906,0.025896389736184317,CACNA1C/PLCB1/ITPR3/RPS6KA2/GNAQ,5
