ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0051056,regulation of small GTPase mediated signal transduction,34/829,303/18805,0.11221122112211221,2.54539446707035,5.8238098387614405,5.904907150954119e-7,0.00288159468966561,0.002708798459353479,SQSTM1/PRAG1/ARHGAP17/EPHB2/EPS8L2/ARHGEF17/ARHGAP42/ARHGAP20/CDON/STARD13/DOCK9/RASA3/CGNL1/TSC2/RAP1GAP2/ARHGAP23/CYTH1/RTN4/MAP4K4/ARHGAP15/RALGAPA2/PREX1/IQSEC1/KALRN/SLIT2/ARHGAP24/FAM13B/ARHGAP26/MMD2/RELN/DLC1/PSD3/ARHGAP39/VAV2,34
BP,GO:0007264,small GTPase-mediated signal transduction,45/829,487/18805,0.09240246406570841,2.0960534822142907,5.262753833517786,2.4041927967250483e-6,0.005866230424009118,0.005514459056909348,SQSTM1/PRAG1/ARHGAP17/GNB1/EPHB2/PLCE1/DOCK1/EPS8L2/ARHGEF17/ARHGAP42/ARHGAP20/CDON/STARD13/DOCK9/RASA3/CGNL1/TSC2/CDH13/RAP1GAP2/ARHGAP23/CYTH1/ROCK2/RTN4/MAP4K4/ARHGAP15/ABI2/RALGAPA2/PREX1/CELSR1/IQSEC1/KALRN/PLD1/SLIT2/RASGEF1B/ARHGAP24/FAM13B/ARHGAP26/MMD2/ELMO1/DBNL/RELN/DLC1/PSD3/ARHGAP39/VAV2,45
BP,GO:0048880,sensory system development,38/829,426/18805,0.0892018779342723,2.0234515253968524,4.588460475860352,3.1750792389841045e-5,0.04860784530433009,0.0456930521648556,CLN8/RP1L1/CACNA1C/SAMD11/GNB1/NPHP4/EPHB2/CLIC4/NFIA/CACNA1S/ATP2B4/PROX1/CDON/ACVRL1/KDM2B/ADAMTS18/MYOM1/LAMA1/PTPRM/CELF4/BCL2/FZR1/PXDN/EFEMP1/WDPCP/MERTK/COL5A2/BMPR2/ABI2/PRSS56/JAG1/LARGE1/DLG1/SH3PXD2B/TFAP2A/SEMA3A/HIPK2/TGFBR1,38
BP,GO:0001654,eye development,37/829,415/18805,0.0891566265060241,2.0224250439635503,4.5229368011875115,4.064212871956842e-5,0.04860784530433009,0.0456930521648556,CLN8/RP1L1/CACNA1C/SAMD11/GNB1/NPHP4/EPHB2/CLIC4/NFIA/CACNA1S/ATP2B4/PROX1/CDON/ACVRL1/KDM2B/ADAMTS18/MYOM1/LAMA1/PTPRM/CELF4/BCL2/FZR1/PXDN/EFEMP1/WDPCP/MERTK/COL5A2/BMPR2/ABI2/PRSS56/JAG1/LARGE1/DLG1/SH3PXD2B/TFAP2A/HIPK2/TGFBR1,37
BP,GO:0150063,visual system development,37/829,419/18805,0.0883054892601432,2.003117883639316,4.459346441776675,4.98031201888628e-5,0.04860784530433009,0.0456930521648556,CLN8/RP1L1/CACNA1C/SAMD11/GNB1/NPHP4/EPHB2/CLIC4/NFIA/CACNA1S/ATP2B4/PROX1/CDON/ACVRL1/KDM2B/ADAMTS18/MYOM1/LAMA1/PTPRM/CELF4/BCL2/FZR1/PXDN/EFEMP1/WDPCP/MERTK/COL5A2/BMPR2/ABI2/PRSS56/JAG1/LARGE1/DLG1/SH3PXD2B/TFAP2A/HIPK2/TGFBR1,37
BP,GO:0001946,lymphangiogenesis,6/829,20/18805,0.3,6.80518697225573,5.578037979255824,1.6413961109258872e-4,0.11796987852955221,0.11089575725448415,TIE1/PROX1/PTPN14/ACVRL1/CCBE1/BMPR2,6
BP,GO:0043010,camera-type eye development,32/829,366/18805,0.08743169398907104,1.983296749655586,4.079550569468736,1.8885113776584747e-4,0.11796987852955221,0.11089575725448415,CLN8/RP1L1/CACNA1C/SAMD11/GNB1/NPHP4/EPHB2/CLIC4/NFIA/CACNA1S/ATP2B4/PROX1/CDON/ACVRL1/KDM2B/MYOM1/LAMA1/PTPRM/CELF4/FZR1/EFEMP1/WDPCP/MERTK/BMPR2/ABI2/PRSS56/JAG1/LARGE1/DLG1/TFAP2A/HIPK2/TGFBR1,32
BP,GO:0048846,axon extension involved in axon guidance,6/829,21/18805,0.2857142857142857,6.4811304497673605,5.396865598876807,2.212697563676988e-4,0.11796987852955221,0.11089575725448415,WNT3/BMPR2/SLIT2/SEMA5A/SEMA3A/PLXNA4,6
BP,GO:1902284,neuron projection extension involved in neuron projection guidance,6/829,21/18805,0.2857142857142857,6.4811304497673605,5.396865598876807,2.212697563676988e-4,0.11796987852955221,0.11089575725448415,WNT3/BMPR2/SLIT2/SEMA5A/SEMA3A/PLXNA4,6
BP,GO:0055001,muscle cell development,21/829,202/18805,0.10396039603960396,2.35823310919753,4.167871890612412,2.4174155436383648e-4,0.11796987852955221,0.11089575725448415,ZMPSTE24/CACNA1S/PROX1/PRKG1/ACTN3/SPG11/TMOD2/TMOD3/MYOM1/AFG3L2/BCL2/ACTN4/DNER/MYO18B/LARGE1/CACNA2D2/SGCB/ANK2/PI16/HDAC9/DMD,21
BP,GO:0060041,retina development in camera-type eye,19/829,175/18805,0.10857142857142857,2.4628295709115973,4.175054842897052,2.7075664108301646e-4,0.12011749168046548,0.11291458773586466,CLN8/RP1L1/SAMD11/GNB1/NPHP4/CLIC4/NFIA/ATP2B4/PROX1/CDON/ACVRL1/LAMA1/PTPRM/CELF4/MERTK/BMPR2/LARGE1/TFAP2A/HIPK2,19
