category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,15/409,86/9500,0.1744186046511628,4.051287883095468,6.028927786825777,3.301670186862128e-6,0.0010499311194221567,9.522711907370769e-4,CACNA1C/CACNA1S/RYR2/ACTN3/SNTB2/LAMA1/DTNA/ITGA6/CACNA2D2/CACNA2D3/SGCB/ITGA1/LAMA2/ITGB8/DMD,15
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,16/409,105/9500,0.1523809523809524,3.5394108743742,5.549757429829517,9.610419236040783e-6,0.0015280566585304846,0.0013859236161448288,CACNA1C/CACNA1S/RYR2/ADCY7/SNTB2/LAMA1/DTNA/ITGA6/MYL3/CACNA2D2/CACNA2D3/SGCB/ITGA1/LAMA2/ITGB8/DMD,16
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,15/409,99/9500,0.15151515151515152,3.5193005853152557,5.344478415972216,1.954738201456074e-5,0.0020720224935434385,0.0018792921656104011,CACNA1C/CACNA1S/RYR2/SNTB2/LAMA1/DTNA/ITGA6/MYL3/CACNA2D2/CACNA2D3/SGCB/ITGA1/LAMA2/ITGB8/DMD,15
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,25/409,252/9500,0.0992063492063492,2.3043039546707025,4.4509215522007155,8.303942646577441e-5,0.006601634404029066,0.0059875796977953135,HLA-F/EPS15/VPS45/PARD3/SNX1/PML/IGF1R/RAB11FIP3/VPS35/CYTH1/SMAD2/EPS15L1/ASAP2/ITCH/IQSEC1/PLD1/CLTB/ACTR3B/VPS37A/PSD3/RAB11FIP1/CLTA/TGFBR1/MVB12B/SH3KBP1,25
Human Diseases,Substance dependence,hsa05032,Morphine addiction,13/409,91/9500,0.14285714285714285,3.318197694725812,4.7129648471216266,1.2964854208278003e-4,0.008245647276464811,0.007478673795932996,GABBR1/GNB1/PDE3A/GNB5/PRKCB/ADCY7/GNAO1/PRKCA/GNG7/KCNJ6/PDE4D/OPRM1/PDE10A,13
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,21/409,203/9500,0.10344827586206896,2.4028328134221395,4.285261097439433,1.7072951238534297e-4,0.009048664156423178,0.00820699761290947,VCL/DOCK1/VWF/COL4A2/IGF1R/PRKCB/PRKCA/LAMA1/LAMA3/BCL2/ACTN4/ROCK2/ITGA6/ITGA1/LAMA4/LAMA2/ITGB8/RELN/LAMB4/VAV2/XIAP,21
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,29/409,333/9500,0.08708708708708708,2.0228052012893087,4.029917894510044,2.328811186708993e-4,0.009913575948382472,0.008991459152124454,HLA-F/UBR4/PARD3/DLG2/VWF/COL4A2/PPP2R5E/TSC2/ATP6V0D1/LLGL1/WNT3/LLGL2/LAMA1/LAMA3/ATP6V1C2/ITGA6/JAG1/IFNAR1/EP300/MAGI1/DLG1/ITGA1/PPP2R5D/LAMA4/LAMA2/ITGB8/CREB5/RELN/LAMB4,29
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,13/409,97/9500,0.13402061855670103,3.112948352784009,4.436457236603446,2.4939813706622573e-4,0.009913575948382472,0.008991459152124454,CACNA1C/GNB1/PER3/NOS1AP/RYR2/PRKG1/GNB5/PRKCB/ADCY7/GNAO1/PRKCA/GNG7/KCNJ6,13
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,19/409,184/9500,0.10326086956521739,2.39847985542681,4.062984405603449,3.5355475056574834e-4,0.01171175324632796,0.010622377985745982,EPHB2/PARD3/UNC5B/ABLIM1/SSH3/PLXNC1/SEMA6D/PLCG2/SSH2/PRKCA/ROCK2/NCK2/BMPR2/ABLIM2/SLIT2/SEMA5A/SEMA3A/PLXNA4/DPYSL2,19
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,12/409,89/9500,0.1348314606741573,3.131782093898519,4.28563021775652,4.0512353996731936e-4,0.01171175324632796,0.010622377985745982,VWF/COL4A2/LAMA1/LAMA3/ITGA6/NPNT/ITGA1/LAMA4/LAMA2/ITGB8/RELN/LAMB4,12
