ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0021955,central nervous system neuron axonogenesis,7/234,37/18805,0.1891891891891892,15.203857703857706,9.70763821058014,3.164043152333037e-7,9.618691183092433e-4,8.712775670003395e-4,DCLK1/SPTBN4/ARHGAP35/GLI2/ADARB1/ARHGEF28/NFIB,7
BP,GO:0007264,small GTPase-mediated signal transduction,21/234,487/18805,0.043121149897330596,3.4653556573474438,6.187574465808997,8.352236722395477e-7,0.0012695399818041125,0.0011499711192519246,ARHGEF10L/OBSCN/SIPA1L2/ITGB1/LRP4/KSR2/CGNL1/KSR1/ARHGEF18/SIPA1L3/ARHGAP35/RASGEF1B/ARHGAP10/ARHGEF28/DOCK2/DEF6/RAPGEF5/DOCK4/DLC1/PREX2/ARHGEF9,21
BP,GO:0051056,regulation of small GTPase mediated signal transduction,16/234,303/18805,0.052805280528052806,4.243603847564243,6.389328063846865,1.3539257726055497e-6,0.0013581945386605186,0.0012302759394514948,ARHGEF10L/OBSCN/SIPA1L2/ITGB1/LRP4/CGNL1/ARHGEF18/SIPA1L3/ARHGAP35/ARHGAP10/ARHGEF28/DOCK2/DEF6/DLC1/PREX2/ARHGEF9,16
BP,GO:0007416,synapse assembly,15/234,273/18805,0.054945054945054944,4.415563069409223,6.38113439967245,1.787098077184893e-6,0.0013581945386605186,0.0012302759394514948,EEF2K/CSMD2/SRGAP2B/LRP4/VSTM5/DCLK1/CDH1/SDK2/ADD2/CLSTN2/NLGN1/NRCAM/DOCK4/ARHGEF9/FGF13,15
BP,GO:0032970,regulation of actin filament-based process,17/234,392/18805,0.04336734693877551,3.4851408512122797,5.5814516931857465,8.929272401240218e-6,0.005428997619954053,0.004917679284556719,ASB2/ARHGEF10L/CACNA1C/CGNL1/SSH2/ARHGEF18/SPTBN4/ARHGAP35/PRKCE/ADD2/BIN1/PDGFRA/SYNPO2/PDE4D/NEDD9/DLC1/FGF13,17
BP,GO:0007409,axonogenesis,18/234,459/18805,0.0392156862745098,3.1514999162057986,5.23832435964662,1.891654126039376e-5,0.008596259894284131,0.007786639848839088,NFASC/ITGB1/LRP4/DCLK1/CDH1/SPTBN4/ARHGAP35/GLI2/ADARB1/BOC/APBB2/UNC5C/ARHGEF28/SMURF1/NRCAM/SMO/NFIB/FGF13,18
BP,GO:0007015,actin filament organization,18/234,463/18805,0.038876889848812095,3.1242731350722712,5.195088050103576,2.122480216558609e-5,0.008596259894284131,0.007786639848839088,ASB2/ARHGEF10L/SORBS1/MYO7A/CGNL1/SSH2/SPIRE1/ARHGEF18/SPTBN4/ARHGAP35/PRKCE/ADD2/BIN1/MICAL3/SYNPO2/NEDD9/DLC1/SHROOM2,18
BP,GO:0021954,central nervous system neuron development,8/234,94/18805,0.0851063829787234,6.839425350063648,6.370902273399043,2.2621736563905607e-5,0.008596259894284131,0.007786639848839088,AGBL4/DCLK1/SPTBN4/ARHGAP35/GLI2/ADARB1/ARHGEF28/NFIB,8
BP,GO:0021952,central nervous system projection neuron axonogenesis,5/234,29/18805,0.1724137931034483,13.85573239021515,7.7769568451050715,2.6600136171813032e-5,0.008984934884701291,0.008138708330463497,DCLK1/SPTBN4/GLI2/ADARB1/NFIB,5
BP,GO:0051494,negative regulation of cytoskeleton organization,10/234,162/18805,0.06172839506172839,4.960694312546163,5.683113598943397,3.645680280963107e-5,0.010330927398761987,0.009357931466468615,ASB2/CGNL1/BMERB1/SSH2/ARHGEF18/SPTBN4/ADD2/DLC1/MID1/FGF13,10
