Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B1-1-C_R1_001	62.80356535051468	46.0	150.0	36.36363636363637	49719057.0
B1-1-C_R2_001	60.634062850221504	47.0	150.0	45.45454545454545	49719057.0
B2-1-KD_R1_001	66.53932389221963	45.0	150.0	36.36363636363637	60840557.0
B2-1-KD_R2_001	64.22484334207324	46.0	150.0	45.45454545454545	60840557.0
B3-1-C-T_R1_001	68.61139249611641	47.0	150.0	36.36363636363637	73846553.0
B3-1-C-T_R2_001	66.47100057427522	48.0	150.0	45.45454545454545	73846553.0
B4-1-KD-T_R1_001	69.11001060156055	46.0	150.0	36.36363636363637	70160678.0
B4-1-KD-T_R2_001	66.89814923036431	47.0	150.0	45.45454545454545	70160678.0
C1-1-C_R1_001	53.690776404507375	45.0	150.0	36.36363636363637	86866529.0
C1-1-C_R2_001	51.82892943574901	46.0	150.0	45.45454545454545	86866529.0
C2-1-KD_R1_001	50.205333182048804	45.0	150.0	36.36363636363637	76212951.0
C2-1-KD_R2_001	49.77277615539896	46.0	150.0	36.36363636363637	76212951.0
C3-1-C-T_R1_001	49.64695252290705	45.0	150.0	27.27272727272727	83540883.0
C4-1-KD-T_R1_001	50.59647521155246	45.0	150.0	36.36363636363637	89282429.0
C4-1-KD-T_R2_001	49.06147539181032	46.0	150.0	36.36363636363637	89282429.0
