"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GSTA1",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000675721881136647,4.02224479860077,0.789,0.095,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000172167178094806
"APOH",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053406572579022,3.71057700479441,0.977,0.317,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013607460627409
"RAMP1",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227170561722348,4.5039512044535,0.515,0.027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000578807874212369
"PRAP1",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000153858667343712,2.67617118849591,0.901,0.22,0.00000000000000000000000000000000000000000000000000000000000000000000000000000392016498525045
"HPD",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000974811402899945,2.99038194269896,0.661,0.093,0.000000000000000000000000000000000000000000000000000000000000000000000000000248372197344877
"APOE",0.000000000000000000000000000000000000000000000000000000000000000000000000000021938303713037,2.90914572120215,0.994,0.702,0.00000000000000000000000000000000000000000000000000000000000000000000000055896604030447
"DCXR",0.0000000000000000000000000000000000000000000000000000000000000000000000000000771003794408434,2.53115737249733,0.924,0.28,0.00000000000000000000000000000000000000000000000000000000000000000000000196444056777325
"SERPINC1",0.000000000000000000000000000000000000000000000000000000000000000000000000000558932716287957,2.96884059747068,0.667,0.102,0.0000000000000000000000000000000000000000000000000000000000000000000000142410466783009
"TM7SF2",0.000000000000000000000000000000000000000000000000000000000000000000000000103805452962884,3.88052247785839,0.409,0.026,0.00000000000000000000000000000000000000000000000000000000000000000000264485913604132
"TTR",0.000000000000000000000000000000000000000000000000000000000000000000000376332013197554,2.49859611097955,0.982,0.575,0.00000000000000000000000000000000000000000000000000000000000000000958856336426048
"VTN",0.000000000000000000000000000000000000000000000000000000000000000000497199607261117,2.6757481384043,0.947,0.333,0.000000000000000000000000000000000000000000000000000000000000012668148793406
"CES1",0.000000000000000000000000000000000000000000000000000000000000000000954227275738344,2.99962072662099,0.649,0.114,0.0000000000000000000000000000000000000000000000000000000000000243127567585373
"RBP4",0.0000000000000000000000000000000000000000000000000000000000000157951694724781,2.44622596087434,0.959,0.425,0.00000000000000000000000000000000000000000000000000000000040244512298927
"MGST1",0.000000000000000000000000000000000000000000000000000000000000060667480988063,3.08493353707651,0.602,0.106,0.00000000000000000000000000000000000000000000000000000000154574674809486
"TMEM176B",0.000000000000000000000000000000000000000000000000000000000000134655920413717,2.85115864770996,0.614,0.107,0.00000000000000000000000000000000000000000000000000000000343089819622111
"APOA1",0.00000000000000000000000000000000000000000000000000000000000502608388275026,1.93289849587119,0.988,0.707,0.000000000000000000000000000000000000000000000000000000128059591248594
"CYP2E1",0.00000000000000000000000000000000000000000000000000000000000742648815714467,2.37277826989929,0.76,0.183,0.000000000000000000000000000000000000000000000000000000189219491755889
"APOC1",0.0000000000000000000000000000000000000000000000000000000000392016397325703,2.30787592023059,0.994,0.717,0.000000000000000000000000000000000000000000000000000000998818578746159
"BAAT",0.000000000000000000000000000000000000000000000000000000000185466608026498,3.26939825214221,0.421,0.044,0.00000000000000000000000000000000000000000000000000000472550370590713
"SERPINA6",0.0000000000000000000000000000000000000000000000000000000818022340249069,3.04181915536642,0.404,0.042,0.0000000000000000000000000000000000000000000000000020842391207206
"CYP2C9",0.000000000000000000000000000000000000000000000000000000106696136464857,2.66033248301745,0.433,0.049,0.0000000000000000000000000000000000000000000000000027185108609881
"AHSG",0.00000000000000000000000000000000000000000000000000000183564208230796,2.60376819509813,0.766,0.201,0.0000000000000000000000000000000000000000000000000467703246151246
"RPL17",0.0000000000000000000000000000000000000000000000000000021122607818973,-1.98272628071215,0.807,0.93,0.0000000000000000000000000000000000000000000000000538182924619612
"RARRES2",0.0000000000000000000000000000000000000000000000000000390484923627963,2.44986769909017,0.76,0.204,0.000000000000000000000000000000000000000000000000994916536911686
"MTRNR2L8",0.00000000000000000000000000000000000000000000000000139082706940874,4.34669499836525,0.246,0.01,0.0000000000000000000000000000000000000000000000354368829014652
"SULT2A1",0.00000000000000000000000000000000000000000000000000190529447233506,3.23933372009152,0.368,0.038,0.000000000000000000000000000000000000000000000048544997860625
"AZGP1",0.00000000000000000000000000000000000000000000000000220547366681808,2.51265826047168,0.561,0.107,0.0000000000000000000000000000000000000000000000561932635568578
"AMBP",0.0000000000000000000000000000000000000000000000000309097341129927,2.21327033992044,0.942,0.446,0.000000000000000000000000000000000000000000000787549115464941
"HULC",0.0000000000000000000000000000000000000000000000000640626647688713,3.2144713014988,0.339,0.031,0.00000000000000000000000000000000000000000000163225263564607
"GAMT",0.0000000000000000000000000000000000000000000000000866133448632766,2.35822854178354,0.538,0.099,0.00000000000000000000000000000000000000000000220682141377142
"APOA2",0.000000000000000000000000000000000000000000000000177525658599429,2.49091002237488,1,0.731,0.00000000000000000000000000000000000000000000452317625545486
"ANG",0.0000000000000000000000000000000000000000000000019754415524283,2.16680923839032,0.655,0.157,0.0000000000000000000000000000000000000000000503322753143208
"ALB",0.00000000000000000000000000000000000000000000349016882931022,1.84115009086968,1,0.918,0.0000000000000000000000000000000000000000889260116019951
"APOM",0.0000000000000000000000000000000000000000000187302171411119,3.25887910981599,0.38,0.051,0.000000000000000000000000000000000000000477227202538391
"HPX",0.0000000000000000000000000000000000000000000385082468672251,1.90347611010337,0.684,0.171,0.000000000000000000000000000000000000000981151621930029
"CYP2A6",0.0000000000000000000000000000000000000000000880188606653832,3.71705316363874,0.234,0.013,0.0000000000000000000000000000000000000022426325508933
"SDC2",0.000000000000000000000000000000000000000000183833875700528,3.0002414277314,0.357,0.046,0.00000000000000000000000000000000000000468390331897375
"ANGPTL3",0.000000000000000000000000000000000000000000474020330634347,2.90015870828898,0.386,0.055,0.0000000000000000000000000000000000000120775640042325
"ITIH1",0.000000000000000000000000000000000000000000898628762835599,2.14218837988599,0.485,0.091,0.0000000000000000000000000000000000000228961622482882
"G6PC",0.00000000000000000000000000000000000000000109636177445197,2.720534445824,0.287,0.026,0.0000000000000000000000000000000000000279342016512616
"RPL36A",0.0000000000000000000000000000000000000000051660705879303,-1.5067570815215,0.86,0.942,0.000000000000000000000000000000000000131626312509876
"ADH1B",0.0000000000000000000000000000000000000000448746724252388,2.49168457338643,0.48,0.096,0.00000000000000000000000000000000000114336177872266
"CYB5A",0.00000000000000000000000000000000000000248408597951362,1.647743244686,0.86,0.406,0.0000000000000000000000000000000000632920266720276
"APOC3",0.00000000000000000000000000000000000000751076871158538,1.49787026667593,0.982,0.723,0.000000000000000000000000000000000191366876002484
"PPP1R16A",0.0000000000000000000000000000000000000222304683229637,3.08458926384491,0.316,0.041,0.000000000000000000000000000000000566410102400793
