"ensembl_gene_id_version","external_gene_name","hgnc_symbol","uniprot_gn_id","uniprot_gn_symbol"
"ENSG00000086570.13","FAT2","FAT2","Q9NYQ8","FAT2"
"ENSG00000107957.17","SH3PXD2A","SH3PXD2A","Q5TCZ1","SH3PXD2A"
"ENSG00000107957.17","SH3PXD2A","SH3PXD2A","A0A8I5KQW5","SH3PXD2A"
"ENSG00000121753.13","ADGRB2","ADGRB2","O60241","ADGRB2"
"ENSG00000121753.13","ADGRB2","ADGRB2","A2A3C3","ADGRB2"
"ENSG00000121753.13","ADGRB2","ADGRB2","A2A3C1","ADGRB2"
"ENSG00000121753.13","ADGRB2","ADGRB2","E9PND1","ADGRB2"
"ENSG00000121753.13","ADGRB2","ADGRB2","A2A3C4","ADGRB2"
"ENSG00000121753.13","ADGRB2","ADGRB2","A2A3C2","ADGRB2"
"ENSG00000121753.13","ADGRB2","ADGRB2","A2A3C6","ADGRB2"
"ENSG00000156206.14","CFAP161","CFAP161","Q6P656","CFAP161"
"ENSG00000156206.14","CFAP161","CFAP161","H0YNS7","CFAP161"
"ENSG00000156206.14","CFAP161","CFAP161","H0YM05","CFAP161"
"ENSG00000165837.12","ERICH6B","ERICH6B","Q5W0A0","ERICH6B"
"ENSG00000169783.13","LINGO1","LINGO1","Q96FE5","LINGO1"
"ENSG00000169783.13","LINGO1","LINGO1","H3BMN3","LINGO1"
"ENSG00000169783.13","LINGO1","LINGO1","H0YNK7","LINGO1"
"ENSG00000169783.13","LINGO1","LINGO1","H0YMX3","LINGO1"
"ENSG00000169783.13","LINGO1","LINGO1","H3BN48","LINGO1"
"ENSG00000169783.13","LINGO1","LINGO1","H3BM59","LINGO1"
"ENSG00000169783.13","LINGO1","LINGO1","H3BQ49","LINGO1"
"ENSG00000171435.15","KSR2","KSR2","Q6VAB6","KSR2"
"ENSG00000205085.13","GARIN1A","GARIN1A","Q6NXP2","GARIN1A"
"ENSG00000205085.13","GARIN1A","GARIN1A","A0A804HIQ6","GARIN1A"
"ENSG00000205085.13","GARIN1A","GARIN1A","A0A804HKS5","GARIN1A"
"ENSG00000205085.13","GARIN1A","GARIN1A","A0A804HJA3","GARIN1A"
"ENSG00000205085.13","GARIN1A","GARIN1A","A0A804HLI1","GARIN1A"
"ENSG00000205085.13","GARIN1A","GARIN1A","A0A804HJ82","GARIN1A"
"ENSG00000205085.13","GARIN1A","GARIN1A","C9K0C0","GARIN1A"
"ENSG00000205592.16","MUC19","MUC19","",""
"ENSG00000214595.13","EML6","EML6","Q6ZMW3","EML6"
"ENSG00000214595.13","EML6","EML6","A0A669KB65","EML6"
"ENSG00000214595.13","EML6","EML6","A0A669KB40","EML6"
"ENSG00000214595.13","EML6","EML6","A0A669KBD4","EML6"
"ENSG00000214595.13","EML6","EML6","A0A669KBH1","EML6"
"ENSG00000285130.2","","","A0A0S2Z3Q8","FXN"
