"ensembl_gene_id_version","external_gene_name","hgnc_symbol","uniprot_gn_id","uniprot_gn_symbol"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQA8","PAX6"
"ENSG00000007372.25","PAX6","PAX6","Q66SS1","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQ31","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PPJ2","PAX6"
"ENSG00000007372.25","PAX6","PAX6","F1T0F8","PAX6"
"ENSG00000007372.25","PAX6","PAX6","P26367","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PPH0","PAX6"
"ENSG00000007372.25","PAX6","PAX6","D1KF47","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRA8","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PS91","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRH6","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRA4","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PR58","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRG3","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1X7SBT0","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRU4","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQL7","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQM7","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PP27","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PP89","PAX6"
"ENSG00000007372.25","PAX6","PAX6","B1B1I8","PAX6"
"ENSG00000007372.25","PAX6","PAX6","E9PKM0","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQG7","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PPG3","PAX6"
"ENSG00000007372.25","PAX6","PAX6","B1B1I9","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQG3","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRW7","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PSA8","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQW3","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PRS6","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PPM5","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PQJ8","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PSB5","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PPN2","PAX6"
"ENSG00000007372.25","PAX6","PAX6","A0A1W2PNS7","PAX6"
"ENSG00000007372.25","PAX6","PAX6","B1B1J0","PAX6"
"ENSG00000109511.12","ANXA10","ANXA10","Q9UJ72","ANXA10"
"ENSG00000118997.14","DNAH7","DNAH7","Q8WXX0","DNAH7"
"ENSG00000118997.14","DNAH7","DNAH7","C9JUY3","DNAH7"
"ENSG00000118997.14","DNAH7","DNAH7","H7C362","DNAH7"
"ENSG00000165899.12","OTOGL","OTOGL","Q3ZCN5","OTOGL"
"ENSG00000165899.12","OTOGL","OTOGL","H0YIL4","OTOGL"
"ENSG00000165899.12","OTOGL","OTOGL","A0A2R8YCH1","OTOGL"
"ENSG00000165899.12","OTOGL","OTOGL","A0A2R8YF04","OTOGL"
"ENSG00000188372.15","ZP3","ZP3","P21754","ZP3"
"ENSG00000188372.15","ZP3","ZP3","E9PFI9","ZP3"
"ENSG00000258677.2","","","",""
"ENSG00000267281.3","ATF7-NPFF","ATF7-NPFF","K7ELQ4","ATF7-NPFF"
"ENSG00000285713.1","","","",""
