ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002883,regulation of hypersensitivity,1/4,10/18805,0.1,470.125,21.643727360000824,0.0021255671816272637,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:0003310,pancreatic A cell differentiation,1/4,10/18805,0.1,470.125,21.643727360000824,0.0021255671816272637,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0098598,learned vocalization behavior or vocal learning,1/4,10/18805,0.1,470.125,21.643727360000824,0.0021255671816272637,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0021903,rostrocaudal neural tube patterning,1/4,11/18805,0.09090909090909091,427.3863636363636,20.63263429230169,0.0023379373721711394,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:2000344,positive regulation of acrosome reaction,1/4,11/18805,0.09090909090909091,427.3863636363636,20.63263429230169,0.0023379373721711394,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:0001547,antral ovarian follicle growth,1/4,12/18805,0.08333333333333333,391.7708333333333,19.750557063648557,0.0025502736630360623,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:0007406,negative regulation of neuroblast proliferation,1/4,12/18805,0.08333333333333333,391.7708333333333,19.750557063648557,0.0025502736630360623,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0048505,regulation of timing of cell differentiation,1/4,12/18805,0.08333333333333333,391.7708333333333,19.750557063648557,0.0025502736630360623,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0002863,positive regulation of inflammatory response to antigenic stimulus,1/4,13/18805,0.07692307692307693,361.6346153846154,18.97217956608899,0.002762576057828814,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:0019321,pentose metabolic process,1/4,13/18805,0.07692307692307693,361.6346153846154,18.97217956608899,0.002762576057828814,0.042100944238124965,0.012239873512838338,OTOGL,1
BP,GO:0021781,glial cell fate commitment,1/4,13/18805,0.07692307692307693,361.6346153846154,18.97217956608899,0.002762576057828814,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0021978,telencephalon regionalization,1/4,13/18805,0.07692307692307693,361.6346153846154,18.97217956608899,0.002762576057828814,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0040034,"regulation of development, heterochronic",1/4,13/18805,0.07692307692307693,361.6346153846154,18.97217956608899,0.002762576057828814,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0061303,cornea development in camera-type eye,1/4,13/18805,0.07692307692307693,361.6346153846154,18.97217956608899,0.002762576057828814,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0009950,dorsal/ventral axis specification,1/4,14/18805,0.07142857142857142,335.8035714285714,18.278636481317427,0.002974844560158174,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0002864,regulation of acute inflammatory response to antigenic stimulus,1/4,16/18805,0.0625,293.828125,17.091712817995397,0.0033992799018531805,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:0045956,positive regulation of calcium ion-dependent exocytosis,1/4,16/18805,0.0625,293.828125,17.091712817995397,0.0033992799018531805,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:0060046,regulation of acrosome reaction,1/4,16/18805,0.0625,293.828125,17.091712817995397,0.0033992799018531805,0.042100944238124965,0.012239873512838338,ZP3,1
BP,GO:1901142,insulin metabolic process,1/4,16/18805,0.0625,293.828125,17.091712817995397,0.0033992799018531805,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0010455,positive regulation of cell fate commitment,1/4,17/18805,0.058823529411764705,276.54411764705884,16.57829911778359,0.003611446748433389,0.042100944238124965,0.012239873512838338,PAX6,1
BP,GO:0036159,inner dynein arm assembly,1/4,17/18805,0.058823529411764705,276.54411764705884,16.57829911778359,0.003611446748433389,0.042100944238124965,0.012239873512838338,DNAH7,1
