ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0019722,calcium-mediated signaling,2/6,235/18805,0.00851063829787234,26.673758865248228,7.0753969436811355,0.0022566414972943435,0.10951951264938521,0.06831626520039623,ADGRB2/KSR2,2
BP,GO:0001675,acrosome assembly,1/6,35/18805,0.02857142857142857,89.54761904761904,9.367250758866199,0.011116881275459956,0.10951951264938521,0.06831626520039623,GARIN1A,1
BP,GO:0042554,superoxide anion generation,1/6,45/18805,0.022222222222222223,69.64814814814815,8.236677057954353,0.014274148192259584,0.10951951264938521,0.06831626520039623,SH3PXD2A,1
BP,GO:0033173,calcineurin-NFAT signaling cascade,1/6,47/18805,0.02127659574468085,66.68439716312056,8.054734951406612,0.014904592425575514,0.10951951264938521,0.06831626520039623,ADGRB2,1
BP,GO:0097720,calcineurin-mediated signaling,1/6,53/18805,0.018867924528301886,59.13522012578616,7.571585509024602,0.016793909406357277,0.10951951264938521,0.06831626520039623,ADGRB2,1
BP,GO:0000768,syncytium formation by plasma membrane fusion,1/6,62/18805,0.016129032258064516,50.55107526881721,6.981725149291008,0.019622222515556786,0.10951951264938521,0.06831626520039623,SH3PXD2A,1
BP,GO:0140253,cell-cell fusion,1/6,62/18805,0.016129032258064516,50.55107526881721,6.981725149291008,0.019622222515556786,0.10951951264938521,0.06831626520039623,SH3PXD2A,1
BP,GO:0006949,syncytium formation,1/6,66/18805,0.015151515151515152,47.48737373737374,6.758761888195092,0.020877072451816914,0.10951951264938521,0.06831626520039623,SH3PXD2A,1
BP,GO:0033363,secretory granule organization,1/6,72/18805,0.013888888888888888,43.53009259259259,6.459401535129436,0.022756837545193087,0.10951951264938521,0.06831626520039623,GARIN1A,1
BP,GO:0006801,superoxide metabolic process,1/6,77/18805,0.012987012987012988,40.70346320346321,6.23679436799772,0.024321010251120878,0.10951951264938521,0.06831626520039623,SH3PXD2A,1
BP,GO:0007422,peripheral nervous system development,1/6,88/18805,0.011363636363636364,35.615530303030305,5.814703545228228,0.027754847457030496,0.10951951264938521,0.06831626520039623,ADGRB2,1
BP,GO:0010631,epithelial cell migration,1/6,98/18805,0.01020408163265306,31.981292517006803,5.493433473366832,0.030867772620976397,0.10951951264938521,0.06831626520039623,FAT2,1
BP,GO:0090132,epithelium migration,1/6,101/18805,0.009900990099009901,31.031353135313534,5.406319568217501,0.03180002886989497,0.10951951264938521,0.06831626520039623,FAT2,1
BP,GO:0120162,positive regulation of cold-induced thermogenesis,1/6,101/18805,0.009900990099009901,31.031353135313534,5.406319568217501,0.03180002886989497,0.10951951264938521,0.06831626520039623,KSR2,1
BP,GO:0090130,tissue migration,1/6,106/18805,0.009433962264150943,29.56761006289308,5.26927692790653,0.033352128545196646,0.10951951264938521,0.06831626520039623,FAT2,1
BP,GO:0030316,osteoclast differentiation,1/6,113/18805,0.008849557522123894,27.735988200589972,5.0926162202160405,0.035521584265678974,0.10951951264938521,0.06831626520039623,SH3PXD2A,1
BP,GO:0007265,Ras protein signal transduction,1/6,118/18805,0.00847457627118644,26.560734463276834,4.975971818654899,0.03706871006380863,0.10951951264938521,0.06831626520039623,KSR2,1
BP,GO:0010927,cellular component assembly involved in morphogenesis,1/6,141/18805,0.0070921985815602835,22.228132387706854,4.520144862155491,0.04415887831005649,0.10951951264938521,0.06831626520039623,GARIN1A,1
BP,GO:0032989,cellular anatomical entity morphogenesis,1/6,141/18805,0.0070921985815602835,22.228132387706854,4.520144862155491,0.04415887831005649,0.10951951264938521,0.06831626520039623,GARIN1A,1
BP,GO:0120161,regulation of cold-induced thermogenesis,1/6,151/18805,0.006622516556291391,20.7560706401766,4.3544813046300455,0.04722796132724283,0.10951951264938521,0.06831626520039623,KSR2,1
BP,GO:0106106,cold-induced thermogenesis,1/6,152/18805,0.006578947368421052,20.619517543859647,4.33879513952068,0.04753441743488929,0.10951951264938521,0.06831626520039623,KSR2,1
BP,GO:0016525,negative regulation of angiogenesis,1/6,160/18805,0.00625,19.588541666666668,4.218494519658857,0.04998311049788895,0.10951951264938521,0.06831626520039623,ADGRB2,1
CC,GO:0160111,axonemal A tubule inner sheath,1/9,31/19880,0.03225806451612903,71.25448028673834,8.330944022365275,0.013949775236566042,0.06196724722482593,0.03453283127080083,CFAP161,1
CC,GO:0002102,podosome,1/9,41/19880,0.024390243902439025,53.87533875338753,7.212633460673985,0.018412655385723897,0.06196724722482593,0.03453283127080083,SH3PXD2A,1
CC,GO:0005874,microtubule,2/9,486/19880,0.00411522633744856,9.090077732053041,3.842782403602588,0.01916124978797567,0.06196724722482593,0.03453283127080083,CFAP161/EML6,2
CC,GO:0097649,A axonemal microtubule,1/9,45/19880,0.022222222222222223,49.08641975308642,6.872603002493129,0.020192774041236206,0.06196724722482593,0.03453283127080083,CFAP161,1
CC,GO:0160110,axonemal microtubule doublet inner sheath,1/9,46/19880,0.021739130434782608,48.01932367149758,6.7945202794839386,0.020637355086541298,0.06196724722482593,0.03453283127080083,CFAP161,1
CC,GO:0097545,axonemal doublet microtubule,1/9,49/19880,0.02040816326530612,45.079365079365076,6.574605866839139,0.02197002255091718,0.06196724722482593,0.03453283127080083,CFAP161,1
CC,GO:0005879,axonemal microtubule,1/9,57/19880,0.017543859649122806,38.75243664717348,6.074441930177167,0.025515925327869504,0.06196724722482593,0.03453283127080083,CFAP161,1
CC,GO:0005796,Golgi lumen,1/9,106/19880,0.009433962264150943,20.838574423480082,4.358376946072509,0.04698632864663399,0.09984594837409723,0.055641704976277094,MUC19,1
MF,GO:0031434,mitogen-activated protein kinase kinase binding,1/8,10/18639,0.1,232.9875,15.205348474156857,0.004284827961905435,0.07881123405104044,0.06492458640360312,KSR2,1
MF,GO:0016176,superoxide-generating NADPH oxidase activator activity,1/8,11/18639,0.09090909090909091,211.8068181818182,14.491870533078055,0.004712425867123171,0.07881123405104044,0.06492458640360312,SH3PXD2A,1
MF,GO:0005078,MAP-kinase scaffold activity,1/8,12/18639,0.08333333333333333,194.15625,13.86929849967161,0.005139863090285246,0.07881123405104044,0.06492458640360312,KSR2,1
MF,GO:0010314,phosphatidylinositol-5-phosphate binding,1/8,21/18639,0.047619047619047616,110.94642857142857,10.446019332304624,0.008979575941681861,0.09808967611055297,0.08080614050297272,SH3PXD2A,1
MF,GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding",1/8,29/18639,0.034482758620689655,80.3405172413793,8.860279133620638,0.012381761628973198,0.09808967611055297,0.08080614050297272,SH3PXD2A,1
MF,GO:0070273,phosphatidylinositol-4-phosphate binding,1/8,31/18639,0.03225806451612903,75.15725806451613,8.562709810463115,0.013230709494515991,0.09808967611055297,0.08080614050297272,SH3PXD2A,1
MF,GO:0005154,epidermal growth factor receptor binding,1/8,35/18639,0.02857142857142857,66.56785714285714,8.045414271222322,0.014926689842910235,0.09808967611055297,0.08080614050297272,LINGO1,1
MF,GO:0032266,phosphatidylinositol-3-phosphate binding,1/8,48/18639,0.020833333333333332,48.5390625,6.833550692598977,0.02042102447953953,0.11742089075735229,0.09673116858729253,SH3PXD2A,1
MF,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",1/8,86/18639,0.011627906976744186,27.09156976744186,5.025380223011732,0.03632794570125275,0.12635634592692632,0.1040921842876281,SH3PXD2A,1
MF,GO:1902936,phosphatidylinositol bisphosphate binding,1/8,111/18639,0.009009009009009009,20.989864864864863,4.377071499387681,0.04666934095010333,0.12635634592692632,0.1040921842876281,SH3PXD2A,1
