"ensembl_gene_id_version","external_gene_name","hgnc_symbol","uniprot_gn_symbol"
"ENSG00000086570.13","FAT2","FAT2","FAT2"
"ENSG00000107957.17","SH3PXD2A","SH3PXD2A","SH3PXD2A"
"ENSG00000121753.13","ADGRB2","ADGRB2","ADGRB2"
"ENSG00000156206.14","CFAP161","CFAP161","CFAP161"
"ENSG00000165837.12","ERICH6B","ERICH6B","ERICH6B"
"ENSG00000169783.13","LINGO1","LINGO1","LINGO1"
"ENSG00000171435.15","KSR2","KSR2","KSR2"
"ENSG00000205085.13","GARIN1A","GARIN1A","GARIN1A"
"ENSG00000205592.16","MUC19","MUC19",""
"ENSG00000214595.13","EML6","EML6","EML6"
"ENSG00000285130.2","","","FXN"
