"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change","Sig"
"KCNG3",1,0.5,604.543298010304,1.59570737917777e-11,9.10204318702836e-08,9.41279755857409,"Stable","Sig"
"KHSRPP1",-1,0.5,-604.543298010304,1.59570737917777e-11,9.10204318702836e-08,9.41279755857409,"Stable","Sig"
"LINC01843",-1,0.5,-604.543298010304,1.59570737917777e-11,9.10204318702836e-08,9.41279755857409,"Stable","Sig"
"LOC105375903",-1,0.5,-604.543298010304,1.59570737917777e-11,9.10204318702836e-08,9.41279755857409,"Stable","Sig"
"LOC100506321",-1,0.5,-604.543298010304,1.59570737917777e-11,9.10204318702836e-08,9.41279755857409,"Stable","Sig"
"LOC105373429",-1,0.5,-604.543298010304,1.59570737917777e-11,9.10204318702836e-08,9.41279755857409,"Stable","Sig"
"RPEL1",-1.00033333333333,0.500166666666667,-593.366271849686,1.72564601888301e-11,9.10204318702836e-08,9.41189549681119,"Down","Sig"
"INGX",-1.036,0.518,-29.4383977824095,5.0733676127399e-06,0.0234148598746978,5.32517773613151,"Down","Sig"
"SNRNP27",427.666,657.833,25.1700810254126,9.75728255548943e-06,0.0400287096126423,4.66288448008029,"Up","Sig"
"GNB1",8600.66633333333,16605.3338333333,20.3667006774422,2.35761947141149e-05,0.0870480261234552,3.71762591056003,"Up","Sig"
"RAB40AL",2.243,1.1215,18.6823171466766,3.37523753196534e-05,0.113291381959295,3.31956671647869,"Up","Sig"
"BTRC",315.667,835.833166666667,17.6417597203983,4.28165882297458e-05,0.122439942035554,3.05210192134167,"Up","Sig"
"ATF2",778.695,1389.96916666667,17.6127071266181,4.31103203093603e-05,0.122439942035554,3.04437590665262,"Up","Sig"
"BTN3A3",-67.2086666666667,304.308,-11.5327059811794,0.000246917733282732,0.65119261059036,1.01846834206222,"Down","Sig"
"LOC400627",5,5.83333333333333,10.8620211792312,0.000315309927489708,0.776124876185,0.728452972096468,"Up","Sig"
"VPS9D1",-207.780666666667,542.427666666667,-9.57432862606865,0.000526174876019426,1,0.118040239778631,"Down","Sig"
"PLEKHM1",868.778666666667,1746.67266666667,9.48952795094604,0.000545428152154821,1,0.075074528087729,"Up","Sig"
