"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000184524.6",114.777082832304,4.07562458940256,0.448992388287231,9.0772687816598,1.11333421511708e-19,8.94341375003554e-16,"Up"
"ENSG00000277739.1",82.4866935994117,9.78140057477386,1.34742750996804,7.2593148814409,3.89055838645093e-13,6.94507900408008e-10,"Up"
"ENSG00000100697.17",2360.94634288887,-1.34179420522614,0.186992090470306,-7.17567359053197,7.19520364811965e-13,1.1559814181069e-09,"Down"
"ENSG00000278189.1",66.610018437007,9.47865786381256,1.32761707039677,7.13960228078402,9.36013485611492e-13,1.36709024180311e-09,"Up"
"ENSG00000132718.9",2215.91752495116,1.52255827453242,0.228654012520914,6.65878659965857,2.7609747028679e-11,3.69648496468965e-08,"Up"
"ENSG00000135414.10",422.339221466912,1.05905000103791,0.165210879899179,6.41029211686424,1.45241073987153e-10,1.79495622667507e-07,"Up"
"ENSG00000135439.12",41.9023140986093,2.71390803820801,0.455860177785377,5.95337818581238,2.62663376766067e-09,2.63746863195227e-06,"Up"
"ENSG00000240225.11",19.1502496157506,7.68185617487188,1.33508611589491,5.75382822382416,8.72448092624888e-09,7.39727603732995e-06,"Up"
"ENSG00000147010.19",1311.15200330888,-1.12138234298194,0.195775578243544,-5.72789697797214,1.01683283034611e-08,8.16821812617027e-06,"Down"
"ENSG00000104442.10",1048.86817869799,-1.28803387142064,0.226311058944675,-5.69143141933474,1.25978754851529e-08,9.63797464497463e-06,"Down"
"ENSG00000128596.17",63.8736929538955,1.89034654305398,0.341994080527755,5.52742474412674,3.24965548142668e-08,2.08835859858404e-05,"Up"
"ENSG00000161970.15",14691.8880346281,-1.52408516994298,0.278621940397312,-5.47008310892404,4.49824595643269e-08,2.49202825986371e-05,"Down"
"ENSG00000137076.22",15920.2638304221,1.35681155056142,0.253675032509118,5.34862078124558,8.86270217583775e-08,4.74627243856697e-05,"Up"
"ENSG00000143156.14",279.262477208836,-1.12028732953078,0.223708410993381,-5.00780155987932,5.50552524659241e-07,0.00026803566245986,"Down"
"ENSG00000119335.18",9061.24923524241,-1.16825753343588,0.235803973883967,-4.95435897111192,7.25691270145239e-07,0.000342910469004512,"Down"
"ENSG00000185262.9",844.067089056212,-1.17191907704513,0.244875670817018,-4.7857717883327,1.7033151306303e-06,0.000760151691352955,"Down"
"ENSG00000204371.12",736.488977234801,-1.77847802753319,0.372685849750674,-4.77205675697907,1.82354096809843e-06,0.000770973926143929,"Down"
"ENSG00000243302.3",14.7940584954078,-7.34976746340201,1.56131719778861,-4.70741465847678,2.50878255652463e-06,0.00103348975777243,"Down"
"ENSG00000243150.6",4.91714400931044,5.71981773960772,1.26929153328601,4.50630732941228,6.59655265893403e-06,NA,"Up"
"ENSG00000258900.1",4.78634225927209,-5.71497823338443,1.28224409692093,-4.45701270694706,8.31096785646111e-06,NA,"Down"
"ENSG00000118680.14",12811.8817701511,-1.40506992693433,0.323472096319786,-4.34371292893614,1.40094560005391e-05,0.00424671547367286,"Down"
"ENSG00000243646.11",872.155231651338,1.15268241006734,0.266450728056987,4.32606215217701,1.51798607882382e-05,0.00435674218258809,"Up"
"ENSG00000269929.6",38.551831777174,-1.32170845213749,0.322397992791622,-4.09961749666276,4.13833531599859e-05,0.0102286915672051,"Down"
"ENSG00000105671.12",749.352628102277,-1.23919096743188,0.304919603271742,-4.06399245616074,4.82403855624869e-05,0.0116474153869936,"Down"
"ENSG00000268573.1",50.3331777775901,-1.02611715142247,0.256966777739838,-3.99318993858943,6.5190306912349e-05,0.0151789488529536,"Down"
"ENSG00000251022.6",429.986442204663,1.08400144782672,0.274648131463216,3.94687355800161,7.91783442321342e-05,0.0173958424886622,"Up"
"ENSG00000173068.19",690.363480612203,1.15035030313058,0.294421436958528,3.90715538587843,9.33890994322907e-05,0.0194855749542751,"Up"
"ENSG00000171862.15",2529.91435630607,-1.00734910262285,0.258535878267776,-3.89636095915283,9.76488240715284e-05,0.020113153942733,"Down"
"ENSG00000155961.5",35.3406572249049,2.47277282184051,0.658321612285218,3.7561774909027,0.000172528355290598,0.03048899047706,"Up"
