UniqueCount	AmbigCount
9	5
0	1
37	192
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	12
0	12
0	0
0	0
0	1
5	16
0	15
0	0
0	0
4	2
0	2
0	11
0	0
0	0
1	7
0	0
3	13
0	1
35	213
0	0
0	23
0	31
0	27
0	23
0	15
36	10
0	0
0	5
0	2
0	0
0	2
0	2
0	2
0	0
0	1
0	0
0	0
4	3
1	3
0	1
0	1
0	9
4	19
1	0
0	7
0	5
0	7
0	4
0	8
0	5
0	2
0	6
0	6
3	2
0	3
0	0
0	0
0	1
0	2
0	1
0	0
0	2
0	0
0	1
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	2
0	1
0	0
5	126
34	3969
170	6033
0	1
5	58
1	0
1701	1606
1	71
0	0
0	0
0	0
0	1
0	1
0	2
1	5
115	107
0	0
0	0
0	2
0	5
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	1
0	1
0	2
0	1
0	1
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
2	1
0	0
1	0
0	0
0	5
10	2
0	0
0	204
1	230
136	585
28	155
1	686
21	27
0	462
0	579
28	26
0	241
0	567
0	271
0	507
0	15
0	212
0	183
0	27
0	200
0	264
0	281
0	236
0	28
0	127
0	146
1	174
0	264
0	370
0	387
0	433
0	202
0	203
0	215
0	244
1	33
0	261
0	422
2	194
1	33
1	10
0	106
0	29
0	146
0	12
0	1
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	41
0	41
0	0
0	41
0	2
0	2
0	2
0	2
0	0
0	41
0	2
0	0
0	0
0	0
0	0
158	1013
2	347
23	931
0	0
23	239
8	18
105	26
14	4
2	22
5	1
12	13
0	7
0	13
0	1
0	0
0	1
0	1
0	1
0	0
19	4
39	174
37	166
48	143
1	88
0	153
0	107
0	0
0	0
148	153
4	13995
0	12916
0	11923
0	13002
0	378
3	468
5	127
0	8
10	241
52	2914
4	110
1	21
0	27
0	17
0	21
1	26
0	27
0	21
0	21
2	0
0	0
0	9
0	18
0	0
0	131
0	125
0	171
0	146
29	100
1	129
16	135
0	29
0	85
0	78
0	45
0	46
0	27
0	14
0	8
0	7
0	5
1	6
0	1
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
3	2
0	1
0	2
4	86
0	171
0	130
0	172
4	104
0	174
2	35
0	128
0	34
0	35
0	72
0	171
2	86
0	20
88	5274
4	4774
0	4056
45	2055
5	1649
0	1050
0	985
1050	2
3	2
0	0
1	3
0	2
0	1
0	0
0	1151
24	1301
0	1162
12	709
3	724
4	569
4	589
1	85
0	506
3	347
0	59
0	56
0	176
0	160
0	184
0	7
1	27
0	43
3	164
7	1
0	0
2	0
0	47
0	34
8	46
0	47
0	0
0	43
0	0
0	6
37	470
19	508
4	316
0	296
0	8
0	0
0	32
1	42
2	2
35	84
0	36
24	12
2	12
0	0
19	147
3	34
4	13
0	102
2	2
1	42
1	50
0	696
0	1188
0	1183
0	939
3	161
1	1015
0	1312
1	941
51	690
32	319
4	813
0	1188
0	952
0	854
4	1104
0	1103
0	326
3	115
5	76
0	807
0	134
0	0
0	214
0	200
2	96
1	150
1	315
0	12
3	40
1	347
5	156
0	116
0	236
0	190
1	192
0	10
1	4
0	85
10	0
0	286
3	119
4	56
2	127
0	130
0	80
0	72
0	36
1	65
0	1
0	9
1	5
39	479
1073	578
16	112
16	0
29	914
53	842
0	127
0	228
7	39
0	20
0	0
0	39
0	46
1	78
0	90
0	72
1	87
0	17
0	15
12	15
0	0
0	0
3	767
10	738
159	726
63	770
4	67
0	26
0	0
0	825
36	1128
2	855
0	605
36	1750
1	1047
6	1388
0	1437
0	396
2	704
2	120
1	109
0	116
0	133
0	449
8	22
0	105
1	4
1	27
0	256
6	254
0	247
0	278
0	237
0	266
0	221
0	225
0	226
0	13
0	222
0	235
0	252
0	105
302	561
1	237
20	420
2	8
3	269
0	0
1	68
29	1
0	4
0	3
0	3
0	4
0	0
0	0
2	0
0	1
0	3
0	1
0	4
0	142
8	1007
304	1147
1	17
20	9
0	0
6	3
2	229
0	152
25	200
1	20
27	123
38	69
0	0
0	0
0	0
0	570
9	412
0	513
0	461
3	507
1	6
0	46
0	111
4	0
1	0
767	1534
1	1230
0	307
206	96
0	14
14	14
0	0
78	0
10	0
43	0
25	660
3	639
0	725
0	717
0	576
4	632
0	671
23	22
0	19
11	685
9	65
0	532
1	38
1	5
1	92
0	715
1	406
0	55
0	583
3	515
3	2
2	9
0	512
0	99
11	18
0	6
3	55
1	136
0	124
2	114
0	35
0	37
0	1
0	13
2	10
0	11
0	8
0	5
0	6
2	7
0	1
0	0
31	1450
0	1238
0	1240
0	1047
0	968
0	950
0	950
0	950
0	184
0	27
9	359
41	3144
8	3181
12	1126
8	475
23	1
3	0
0	11
25	862
0	757
82	569
2	150
1	545
0	715
0	496
0	662
0	761
0	611
0	665
5	13
0	61
0	32
0	0
1	64
0	4
0	5
3	47
1	44
7	54
0	6
0	4
3	4
0	0
213	31
27	221
14	24
14	220
3	0
0	131
0	6
17	1978
0	1821
0	1535
0	906
0	7
2	382
0	140
0	93
6	285
1	101
0	53
0	177
2	286
6	282
5	277
10	173
0	0
0	8956
30	10895
182	11843
2	9779
0	10175
1	11107
0	9680
0	8708
0	11098
12	10172
0	5385
0	10474
0	11072
0	10939
0	10965
0	10717
0	10529
0	8882
11	9594
0	7973
1	9372
5	9092
2	5937
5	5439
19	974
0	2905
0	2205
2	852
0	6
3	281
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
3	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
