UniqueCount	AmbigCount
0	2
0	0
52	225
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	12
0	9
0	0
0	0
0	0
0	13
1	30
2	1
0	1
7	0
0	0
4	20
0	0
0	0
0	0
0	0
0	1
0	0
43	271
0	0
0	80
0	81
0	79
0	74
0	70
3	4
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	1
0	0
0	1
0	7
9	42
0	0
0	8
0	4
0	5
0	5
0	8
0	4
2	0
0	6
0	5
0	1
0	4
1	1
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	0
4	243
70	6665
168	7735
0	2
467	2444
0	0
2306	2009
1	74
0	0
0	0
0	0
0	0
0	0
0	1
1	4
161	151
0	0
0	0
0	3
0	9
0	3
0	2
0	2
0	3
0	2
0	3
0	3
0	2
0	2
0	5
0	2
0	2
0	2
0	1
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
2	3
0	1
1	1
0	0
1	5
15	1
0	2
1	161
3	188
124	445
8	119
0	532
10	18
0	331
0	456
8	18
0	193
0	457
2	219
0	349
0	6
0	166
2	144
0	18
0	171
0	220
0	223
1	189
1	19
3	96
2	124
2	132
1	217
0	264
0	281
0	331
0	169
0	171
1	179
2	200
1	25
0	215
0	314
0	166
2	25
0	10
0	70
0	19
0	124
1	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
7	0
0	0
0	0
0	249
0	250
1	3
2	238
0	60
0	58
0	72
0	53
0	64
0	229
0	47
0	0
0	24
0	4
1	10
591	2926
2	928
37	2688
0	0
38	730
11	57
214	49
35	7
15	42
9	1
9	25
0	12
2	16
0	0
0	4
0	9
0	9
0	9
0	0
23	0
73	344
80	325
67	277
5	174
0	1051
0	668
1	0
0	0
1016	1048
5	9078
0	8419
0	7746
0	8405
0	226
4	278
3	101
0	6
10	154
83	2069
0	61
0	36
