UniqueCount	AmbigCount
2	8
0	0
50	271
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	18
0	18
0	0
0	0
0	0
1	14
0	19
0	0
0	0
4	0
0	0
0	9
0	0
0	0
0	7
0	0
4	13
0	0
28	227
0	0
7	75
0	78
0	72
0	66
0	61
19	9
0	0
0	13
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	2
0	0
0	0
0	10
5	24
0	0
0	4
0	3
0	1
0	1
0	6
0	1
0	2
0	1
0	4
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
2	367
84	9820
445	16330
0	3
1	66
1	1
3062	2808
1	103
0	0
0	0
0	0
0	1
0	0
0	0
1	6
79	82
0	0
0	0
0	3
0	3
0	1
0	1
0	1
0	0
0	1
0	2
0	0
0	1
0	1
0	6
0	1
0	1
0	1
0	0
0	2
0	0
0	0
0	0
0	2
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	8
3	4
0	1
4	1
0	4
1	2
8	1
0	0
0	173
0	184
120	466
11	102
1	517
8	21
0	336
0	464
19	19
0	203
0	462
1	214
0	360
0	10
0	179
0	176
0	19
0	176
1	220
0	227
0	184
1	23
0	133
0	143
0	172
0	216
0	283
0	285
0	321
0	174
0	181
0	172
0	194
0	31
1	198
0	302
0	162
0	29
0	2
0	62
0	26
0	143
2	1
1	1
0	1
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	82
0	81
0	1
0	82
0	5
0	6
0	6
0	5
0	3
0	81
0	3
0	0
0	2
1	1
0	1
278	1537
4	505
27	1408
0	0
30	370
5	23
265	60
61	12
33	48
20	0
10	10
0	7
1	7
0	0
0	1
0	3
0	3
0	3
0	0
7	2
64	236
36	199
52	194
2	106
0	262
0	157
0	0
0	0
293	261
1	23599
0	21596
0	19921
0	21924
2	611
2	779
10	237
1	19
11	357
100	5328
2	167
0	43
0	42
5	19
1	58
0	41
0	41
5	57
0	57
2	0
0	1
0	27
0	22
0	0
1	202
1	199
3	255
0	232
35	153
0	192
0	210
0	29
0	138
0	120
0	92
0	93
0	50
1	17
1	16
0	16
0	6
0	7
0	3
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
10	14
0	6
0	8
10	317
0	551
0	440
0	558
7	322
0	555
10	132
0	443
2	128
1	130
1	232
0	539
32	300
0	84
105	5190
6	4727
9	3979
63	2162
4	1777
4	902
0	973
1743	0
3	0
1	0
2	0
2	2
4	2
2	0
1	2544
74	2861
0	2565
24	1619
4	1566
5	1297
3	1252
8	196
0	1108
7	833
1	153
0	142
0	311
0	276
6	345
0	18
4	62
0	81
6	283
48	5
0	0
1	0
2	75
0	56
5	75
0	76
0	2
0	72
0	0
1	16
38	1012
57	1127
13	788
0	666
5	14
0	0
0	47
6	90
6	2
48	184
0	84
36	33
0	26
0	0
54	229
8	62
8	26
2	163
0	5
5	79
0	87
12	806
0	1362
0	1362
0	1033
1	173
3	1133
0	1498
0	1034
82	790
48	390
2	915
0	1361
0	1045
0	929
4	1206
0	1247
0	342
5	152
5	95
0	982
0	159
0	0
0	257
0	225
5	131
1	163
0	406
0	27
9	67
0	458
1	177
1	152
0	311
0	260
0	260
1	22
15	8
0	96
11	0
3	393
1	172
4	116
3	169
0	181
0	92
0	79
0	39
1	83
0	5
0	4
0	1
17	472
1149	608
4	148
34	0
33	2371
120	2274
0	407
0	580
4	121
2	61
0	0
11	87
0	11
0	17
0	21
0	19
0	21
0	3
0	3
0	6
0	0
0	0
23	1093
11	1052
214	1040
79	1067
23	66
1	44
0	0
0	1705
36	2299
3	1755
4	1233
58	3745
2	2259
9	2797
0	2972
0	888
9	1446
1	247
2	255
0	255
2	370
0	989
11	51
1	243
3	11
0	60
3	244
8	233
4	290
0	296
0	262
0	289
0	206
0	208
0	234
0	8
0	212
