"sample","fastq_1","fastq_2","strandedness"
"A_1","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A1_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A1_R2_001.fastq.gz","auto"
"A_2","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A2_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A2_R2_001.fastq.gz","auto"
"A_3","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A3_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A3_R2_001.fastq.gz","auto"
"A_4","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A4_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A4_R2_001.fastq.gz","auto"
"A_5","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A5_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A5_R2_001.fastq.gz","auto"
"A_6","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A6_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-A6_R2_001.fastq.gz","auto"
"B_1","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B1_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B1_R2_001.fastq.gz","auto"
"B_2","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B2_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B2_R2_001.fastq.gz","auto"
"B_3","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B3_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B3_R2_001.fastq.gz","auto"
"B_4","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B4_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B4_R2_001.fastq.gz","auto"
"B_5","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B5_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B5_R2_001.fastq.gz","auto"
"B_6","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B6_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-B6_R2_001.fastq.gz","auto"
"C_1","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C1_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C1_R2_001.fastq.gz","auto"
"C_2","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C2_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C2_R2_001.fastq.gz","auto"
"C_3","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C3_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C3_R2_001.fastq.gz","auto"
"C_4","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C4_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C4_R2_001.fastq.gz","auto"
"C_5","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C5_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C5_R2_001.fastq.gz","auto"
"C_6","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C6_R1_001.fastq.gz","/rds/projects/g/gendood-preclinomics/EHMT2/RNASeq_data_Saad/fastq/SR-C6_R2_001.fastq.gz","auto"
