"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000128245.15",3671.6649562837,0.980248834262355,0.10834393895787,9.04756503862694,1.46191810983991e-19,2.25150008096444e-15,"Stable"
"ENSG00000278189.1",188.702259098618,10.9957536702218,1.25610088917889,8.75387778557315,2.06144328402e-18,1.5874144008596e-14,"Up"
"ENSG00000153250.21",3990.34114267962,-0.567653921066106,0.071544978846989,-7.93422445871609,2.11814717593262e-15,1.08738615521794e-11,"Stable"
"ENSG00000184428.13",626.764259007191,1.28870834129017,0.17400761747416,7.40604555131929,1.30121154965042e-13,5.00998976904152e-10,"Up"
"ENSG00000136699.20",2015.48253496729,-0.551512752353211,0.0756879299779731,-7.28666714116391,3.17716568055352e-13,9.78630572924096e-10,"Stable"
"ENSG00000240225.11",38.0321336190967,8.69036006311753,1.27860259028902,6.79676400557979,1.06995146730038e-11,2.74638709131554e-08,"Up"
"ENSG00000105887.11",7895.93739017354,0.515140464580126,0.0765099674056088,6.73298502205821,1.66217179207158e-11,3.65701539567063e-08,"Stable"
"ENSG00000285976.3",1593.14514697369,0.3930382030374,0.0630981574609755,6.2289965167443,4.69432226352093e-10,9.03715714756073e-07,"Stable"
"ENSG00000135655.16",1442.49432523474,0.690256274364998,0.112952256072758,6.11104459852815,9.89810977015043e-10,1.69378653966763e-06,"Stable"
"ENSG00000174749.6",3688.29891522424,0.812603680076825,0.136167949483486,5.96765746388341,2.40683974804671e-09,3.70677389596673e-06,"Stable"
"ENSG00000198792.13",3685.32064586371,0.578898548206601,0.100927737318266,5.73577257935646,9.70688398723951e-09,1.35905200261342e-05,"Stable"
"ENSG00000173210.21",3468.1709255018,-0.755097292709365,0.132310855709102,-5.706994249735,1.14988665371374e-08,1.47578369615378e-05,"Stable"
"ENSG00000134851.13",3282.73752321757,-0.527102674095146,0.0940192078346548,-5.60632966640312,2.06662161089569e-08,2.4483107253388e-05,"Stable"
"ENSG00000135414.10",395.283566307301,0.885056613329864,0.1600683159649,5.52924298600069,3.21615613822851e-08,3.53800147748981e-05,"Stable"
"ENSG00000122557.11",1022.77538048545,0.758112031919729,0.138929179584399,5.45682364343897,4.84727355381752e-08,4.97685733348958e-05,"Stable"
"ENSG00000132676.16",1441.74981496086,0.704901219798109,0.129694479376602,5.43509040004119,5.47686583034715e-08,5.27182566582352e-05,"Stable"
"ENSG00000137815.15",2408.91012078374,0.57656971002915,0.108213578862544,5.32807172713073,9.9260926979517e-08,8.99245609653848e-05,"Stable"
"ENSG00000105738.11",1479.84635196665,0.515626219673743,0.0979581823848463,5.26373812907239,1.41155470584649e-07,0.000120774189026343,"Stable"
"ENSG00000101166.16",1473.60422066284,-0.902717523085566,0.175616409945464,-5.1402800191958,2.74329328555823e-07,0.000222365578373064,"Stable"
"ENSG00000163541.12",1070.00748457536,0.500600511961625,0.0981747169660347,5.0990777201305,3.41312398866942e-07,0.000262827612747489,"Stable"
