"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000278189.1",188.702259098618,10.9957536702218,1.25610088917889,8.75387778557315,2.06144328402e-18,1.5874144008596e-14,"Up"
"ENSG00000184428.13",626.764259007191,1.28870834129017,0.17400761747416,7.40604555131929,1.30121154965042e-13,5.00998976904152e-10,"Up"
"ENSG00000240225.11",38.0321336190967,8.69036006311753,1.27860259028902,6.79676400557979,1.06995146730038e-11,2.74638709131554e-08,"Up"
"ENSG00000267022.1",10.5047072665746,6.83225936714211,1.35188799215277,5.05386497017576,4.3295776272892e-07,NA,"Up"
"ENSG00000204371.12",765.150822621673,-1.51727484457452,0.309621578004546,-4.90041700049808,9.56334534269475e-07,0.000545500302306822,"Down"
"ENSG00000137076.22",14778.5316241908,1.21370049098571,0.263627371911462,4.60384853888892,4.14754152296944e-06,0.00182503677129293,"Up"
"ENSG00000197568.15",60.5800785778178,-1.08063617709461,0.240367341959412,-4.49576955124413,6.93187809589349e-06,0.00280941722512778,"Down"
"ENSG00000140465.15",823.755282731355,-1.07694661545645,0.26697367367145,-4.03390566809889,5.48573474680207e-05,0.0163852437072873,"Down"
"ENSG00000256092.4",19.5568225121311,1.48172090712946,0.367497667121426,4.03191921933993,5.53232045178195e-05,0.0163852437072873,"Up"
"ENSG00000251022.6",404.074282843486,1.02407180457965,0.255320692553911,4.0109236518831,6.04816678419291e-05,0.0172495956746954,"Up"
"ENSG00000184194.6",66.7338726161255,1.25927092276936,0.321655374318513,3.91496932217396,9.04157033178364e-05,0.0232082041133,"Up"
"ENSG00000260912.1",141.910794218532,-1.19650264640603,0.313100069870572,-3.82147039092209,0.00013265834347555,0.0322060543772846,"Down"
"ENSG00000176871.9",2667.92709354587,-1.03553082826281,0.273721451437406,-3.78315555037749,0.000154852571102164,0.0350718301109474,"Down"
"ENSG00000152763.17",66.4744872259545,-1.27434677977745,0.33724539879932,-3.77869285782534,0.000157653730313591,0.0351887695733276,"Down"
"ENSG00000277449.1",9.02903570259309,-2.73200373486784,0.725271728356114,-3.76686919957592,0.000165307552281381,NA,"Down"
"ENSG00000182484.15",167.576827511378,-1.77528162717608,0.475122576968181,-3.73647078298064,0.000186621121756839,0.0399187763357927,"Down"
"ENSG00000136159.4",484.301975152867,1.20942490307362,0.330364891272276,3.66087600415399,0.000251354388205868,0.0516147857701142,"Up"
"ENSG00000139194.8",12.120427435581,2.7451022297906,0.75215230983219,3.64966269983675,0.000262584880738362,NA,"Up"
"ENSG00000254732.2",6.75847640750893,6.19556474462508,1.69964518881807,3.64521065066142,0.000267172867971582,NA,"Up"
"ENSG00000169398.20",4386.72562984028,-1.08592415101633,0.301902121450307,-3.59694110726902,0.000321981346681163,0.0619854340029574,"Down"
"ENSG00000143494.16",7.34552025632344,4.23707005689713,1.20467581639216,3.51718694709633,0.000436146484398749,NA,"Up"
"ENSG00000285160.1",2.96715132898054,-5.0398029048249,1.4527642381353,-3.4691127249207,0.000522180308003569,NA,"Down"
"ENSG00000256566.1",3.10332400087802,-5.11288974154551,1.49409882514352,-3.42205592796339,0.000621495281831827,NA,"Down"
