"Chromosome","chromStart","chromEnd","Gene"
"chr1",31727117,31764893,"ADGRB2"
"chr2",195737703,196068837,"DNAH7"
"chr2",54723499,54972025,"EML6"
"chr4",168092537,168187736,"ANXA10"
"chr5",151504092,151591331,"FAT2"
"chr6",31879758,31897723,"EHMT2"
"chr7",76397518,76442071,"ZP3"
"chr7",128671693,128687877,"GARIN1A"
"chr11",31784779,31817961,"PAX6"
"chr10",103594027,103855584,"SH3PXD2A"
"chr12",80099537,80380880,"OTOGL"
"chr12",53506691,53625979,"ATF7-NPFF"
"chr12",40393395,40570832,"MUC19"
"chr12",117453012,117968990,"KSR2"
"chr13",45534522,45615739,"ERICH6B"
"chr15",81007033,81149179,"CFAP161"
"chr15",77613027,77820900,"LINGO1"
