"","chr","start","end","GENE_ID"
"1","GL000194.1",109637,110178,"ENSG00000277400.1"
"2","GL000219.1",148354,148747,NA
"3","GL000251.2",354625,354682,NA
"4","GL000251.2",2357583,2357842,NA
"5","GL000252.2",4523475,4523523,"ENSG00000226916.8"
"6","GL000253.2",2957567,2957945,"ENSG00000231974.6"
"7","GL000253.2",3495143,3495518,NA
"8","GL000254.2",841463,841491,"ENSG00000206466.10"
"9","GL000254.2",2402447,2402704,"ENSG00000290406.1"
"10","GL000256.2",1044091,1044339,"ENSG00000229698.11"
"11","GL000256.2",1790005,1790216,NA
"12","GL000258.2",131426,131708,"ENSG00000277111.3"
"13","GL383521.1",1606,1642,NA
"14","GL383563.3",73320,73787,NA
"15","GL383577.2",72392,72594,NA
"16","KI270706.1",125377,125628,"ENSG00000293919.1"
"17","KI270762.1",106057,106322,"ENSG00000281197.2"
"18","KI270762.1",129378,129841,NA
"19","KI270772.1",43862,44194,NA
"20","KI270782.1",91505,92000,NA
"21","KI270792.1",128385,128385,"ENSG00000276482.3"
"22","KI270816.1",92497,92924,"ENSG00000278016.2"
"23","KI270817.1",4681,4830,"ENSG00000282681.1"
"24","KI270817.1",136524,136643,NA
"25","KI270825.1",74937,75365,"ENSG00000274429.2"
"26","KI270835.1",18384,18649,"ENSG00000275428.2"
"27","KI270846.1",35539,35804,NA
"28","KI270847.1",87742,88021,"ENSG00000274958.4"
"29","KI270851.1",212350,212501,"ENSG00000280787.3"
"30","KI270854.1",131293,131334,NA
"31","KI270855.1",78504,78746,"ENSG00000278760.4"
"32","KI270857.1",1528660,1529030,"ENSG00000275176.4"
"33","KI270860.1",1373,1789,NA
"34","KI270861.1",17120,17418,"ENSG00000278550.4"
"35","KI270862.1",333225,333490,"ENSG00000274474.3"
"36","KI270897.1",1005717,1006049,"ENSG00000274803.4"
"37","KI270902.1",88144,88500,"ENSG00000277518.4"
"38","KI270903.1",148509,148600,NA
"39","KI270905.1",937599,937645,"ENSG00000282417.2"
"40","KI270905.1",2233738,2234216,NA
"41","KI270905.1",3271047,3271202,"ENSG00000277086.3"
"42","KI270905.1",3396710,3397041,"ENSG00000274965.4"
"43","KI270905.1",5122533,5122587,NA
"44","KI270908.1",763661,764110,"ENSG00000278458.4"
"45","KI270908.1",810531,810650,"ENSG00000278458.4"
"46","KI270926.1",178886,179070,"ENSG00000278220.2"
"47","KI270927.1",135226,135524,NA
"48","KN538364.1",93344,93751,"ENSG00000281766.4"
"49","KQ090028.1",382931,383215,NA
"50","KQ458384.1",74731,75149,NA
"51","KQ759759.2",15466,15731,NA
"52","KV575244.1",594493,594678,"ENSG00000284099.3"
"53","KV766193.1",292134,292411,"ENSG00000284227.3"
"54","KV880768.1",1894611,1894858,NA
"55","KZ208915.1",820734,821026,NA
"56","KZ208915.1",1794079,1794250,"ENSG00000285457.1"
"57","KZ208915.1",2665987,2666493,"ENSG00000292297.1"
"58","KZ208915.1",2761725,2762221,NA
"59","KZ208915.1",4328927,4329200,"ENSG00000292301.1"
"60","KZ208915.1",4565676,4565838,"ENSG00000285022.2"
"61","KZ208915.1",5008813,5009151,"ENSG00000292308.1"
"62","KZ208915.1",6354766,6355031,NA
"63","KZ208916.1",360044,360190,"ENSG00000285479.3"
"64","KZ208920.1",432045,432453,"ENSG00000284818.1"
"65","ML143355.1",41832,42251,NA
"66","ML143358.1",131189,131480,NA
"67","ML143371.1",3461582,3462184,NA
"68","ML143373.1",163149,163410,"ENSG00000288216.2"
"69","ML143373.1",207694,208041,"ENSG00000288353.1"
"70","ML143379.1",6006,6078,NA
"71","MU273331.1",250505,250820,"ENSG00000291999.1"
"72","MU273333.1",1427052,1427375,NA
"73","MU273348.1",435586,435793,"ENSG00000291495.1"
"74","MU273349.1",44345,44602,"ENSG00000292165.1"
"75","MU273362.1",360474,360861,NA
"76","MU273362.1",410957,411178,NA
"77","MU273374.1",452731,452891,"ENSG00000291606.1"
"78","MU273382.1",55276,55288,"ENSG00000291421.1"
