"chr","start","end","length","abs_summit","pileup","X.log10.pvalue.","fold_enrichment","X.log10.qvalue.","name","sample","group","GENE_ID"
"GL000008.2",139946,140332,387,140254,5,2.1193,2.2379,0,"B1_vs_B2_peak_5","B1_vs_B2","C-KD","ENSG00000296732.1"
"GL000009.2",92435,92897,463,92668,8,3.3828,2.84684,0.291637,"B1_vs_B2_peak_7","B1_vs_B2","C-KD","ENSG00000306721.1"
"GL000009.2",119479,119744,266,119702,9,2.39339,2.17281,0,"B1_vs_B2_peak_8","B1_vs_B2","C-KD","ENSG00000306721.1"
"GL000194.1",31313,31867,555,31481,6,3.05175,2.81242,0.112162,"B1_vs_B2_peak_10","B1_vs_B2","C-KD","ENSG00000298772.1"
"GL000194.1",39233,39498,266,39301,4,2.24863,2.36966,0,"B1_vs_B2_peak_11","B1_vs_B2","C-KD","ENSG00000298772.1"
"GL000194.1",49287,49606,320,49441,5,1.93124,2.10586,0,"B1_vs_B2_peak_12","B1_vs_B2","C-KD","ENSG00000298772.1"
"GL000194.1",60861,61507,647,61066,8,4.32463,3.44954,0.785257,"B1_vs_B2_peak_13","B1_vs_B2","C-KD","ENSG00000277400.1"
"GL000194.1",72487,72901,415,72568,6,1.93436,2.05788,0,"B1_vs_B2_peak_14","B1_vs_B2","C-KD","ENSG00000277400.1"
"GL000194.1",100499,100900,402,100742,7,3.00214,2.69426,0.0732971,"B1_vs_B2_peak_15","B1_vs_B2","C-KD","ENSG00000277400.1"
"GL000194.1",109510,110203,694,109983,20,6.70419,3.34213,2.15352,"B1_vs_B2_peak_16","B1_vs_B2","C-KD","ENSG00000277400.1"
"GL000195.1",65314,65648,335,65375,5,2.43441,2.45808,0,"B1_vs_B2_peak_19","B1_vs_B2","C-KD","ENSG00000303853.1"
"GL000195.1",68254,68575,322,68389,9,4.70099,3.5642,0.931067,"B1_vs_B2_peak_20","B1_vs_B2","C-KD","ENSG00000303853.1"
"GL000195.1",75948,76213,266,76061,6,2.71976,2.5877,0.0469232,"B1_vs_B2_peak_22","B1_vs_B2","C-KD","ENSG00000303853.1"
"GL000214.1",54869,55210,342,55044,6,2.58268,2.49494,0,"B1_vs_B2_peak_34","B1_vs_B2","C-KD","ENSG00000303173.1"
"GL000250.2",893703,894170,468,894115,7,2.17129,2.1572,0,"B1_vs_B2_peak_81","B1_vs_B2","C-KD","ENSG00000232569.8"
"GL000251.2",2021426,2021742,317,2021651,11,5.07021,3.5278,1.19362,"B1_vs_B2_peak_113","B1_vs_B2","C-KD","ENSG00000235986.9"
"GL000251.2",3486704,3486969,266,3486706,5,1.97771,2.13852,0,"B1_vs_B2_peak_149","B1_vs_B2","C-KD","ENSG00000233323.10"
"GL000252.2",1247052,1247317,266,1247169,4,2.24863,2.36966,0,"B1_vs_B2_peak_166","B1_vs_B2","C-KD","ENSG00000235657.9"
"GL000252.2",2384540,2384971,432,2384709,12,3.08191,2.35755,0.114713,"B1_vs_B2_peak_185","B1_vs_B2","C-KD","ENSG00000233439.8"
"GL000252.2",2386904,2387388,485,2387155,4,2.24863,2.36966,0,"B1_vs_B2_peak_186","B1_vs_B2","C-KD","ENSG00000233439.8"
"GL000252.2",3165950,3166310,361,3166050,4,2.24863,2.36966,0,"B1_vs_B2_peak_200","B1_vs_B2","C-KD","ENSG00000231543.9"
"GL000252.2",3289410,3289685,276,3289553,8,5.31124,4.08947,1.32489,"B1_vs_B2_peak_203","B1_vs_B2","C-KD","ENSG00000231608.9"
"GL000252.2",3355249,3355585,337,3355487,10,2.8851,2.38541,0.0678765,"B1_vs_B2_peak_204","B1_vs_B2","C-KD","ENSG00000231608.9"
"GL000252.2",4523096,4523523,428,4523279,5,2.43441,2.45808,0,"B1_vs_B2_peak_209","B1_vs_B2","C-KD","ENSG00000226916.8"
"GL000254.2",841220,841491,272,841466,11,3.41945,2.60227,0.308719,"B1_vs_B2_peak_251","B1_vs_B2","C-KD","ENSG00000206466.10"
"GL000254.2",1885599,1886050,452,1885959,4,2.24863,2.36966,0,"B1_vs_B2_peak_258","B1_vs_B2","C-KD","ENSG00000228581.9"
"GL000254.2",2402447,2402712,266,2402513,4,2.24863,2.36966,0,"B1_vs_B2_peak_262","B1_vs_B2","C-KD","ENSG00000290406.1"
"GL000254.2",2984962,2985227,266,2985056,4,2.24863,2.36966,0,"B1_vs_B2_peak_271","B1_vs_B2","C-KD","ENSG00000234651.10"
"GL000254.2",3249248,3249751,504,3249454,4,2.24863,2.36966,0,"B1_vs_B2_peak_278","B1_vs_B2","C-KD","ENSG00000226560.10"
"GL000254.2",3452936,3453201,266,3453077,5,1.98262,2.14197,0,"B1_vs_B2_peak_280","B1_vs_B2","C-KD","ENSG00000206258.12"
"GL000254.2",3518540,3518883,344,3518704,8,2.18801,2.10965,0,"B1_vs_B2_peak_282","B1_vs_B2","C-KD","ENSG00000235758.9"
"GL000255.2",3119602,3120203,602,3119853,13,2.8332,2.18169,0.0678765,"B1_vs_B2_peak_344","B1_vs_B2","C-KD","ENSG00000206338.9"
"GL000255.2",3163284,3163549,266,3163395,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_345","B1_vs_B2","C-KD","ENSG00000206338.9"
"GL000255.2",3378064,3378329,266,3378090,5,1.97771,2.13852,0,"B1_vs_B2_peak_349","B1_vs_B2","C-KD","ENSG00000206329.15"
"GL000256.2",1043922,1044339,418,1044150,12,4.29177,2.98017,0.765798,"B1_vs_B2_peak_367","B1_vs_B2","C-KD","ENSG00000229698.11"
"GL000256.2",4367659,4367945,287,4367848,9,2.83129,2.426,0.0678765,"B1_vs_B2_peak_402","B1_vs_B2","C-KD","ENSG00000243215.7"
"GL000256.2",4368628,4369131,504,4369049,10,2.29999,2.06658,0,"B1_vs_B2_peak_403","B1_vs_B2","C-KD","ENSG00000243215.7"
"GL000258.2",131380,131889,510,131516,14,4.1179,2.72025,0.638443,"B1_vs_B2_peak_421","B1_vs_B2","C-KD","ENSG00000277111.3"
"GL000258.2",418006,418271,266,418061,4,2.24863,2.36966,0,"B1_vs_B2_peak_426","B1_vs_B2","C-KD","ENSG00000275748.4"
"GL000258.2",484325,484590,266,484442,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_427","B1_vs_B2","C-KD","ENSG00000275748.4"
"GL000258.2",595024,595369,346,595272,9,4.70099,3.5642,0.931067,"B1_vs_B2_peak_428","B1_vs_B2","C-KD","ENSG00000275867.3"
"GL000258.2",743910,744389,480,744154,7,2.17129,2.1572,0,"B1_vs_B2_peak_429","B1_vs_B2","C-KD","ENSG00000275867.3"
"GL383563.3",162246,162511,266,162281,4,2.24863,2.36966,0,"B1_vs_B2_peak_542","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",175481,175927,447,175682,5,1.97771,2.13852,0,"B1_vs_B2_peak_543","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",179205,179726,522,179463,5,2.61767,2.58526,0,"B1_vs_B2_peak_544","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",205017,205282,266,205201,4,2.24863,2.36966,0,"B1_vs_B2_peak_546","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",252232,252670,439,252407,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_548","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",271682,272007,326,271791,6,2.16686,2.21421,0,"B1_vs_B2_peak_549","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",320270,320535,266,320312,17,3.96748,2.45906,0.552919,"B1_vs_B2_peak_551","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",321553,321891,339,321791,5,1.95671,2.12376,0,"B1_vs_B2_peak_552","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",350560,350825,266,350662,4,2.24863,2.36966,0,"B1_vs_B2_peak_553","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",350992,351438,447,351373,6,2.58268,2.49494,0,"B1_vs_B2_peak_554","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383563.3",357075,357340,266,357238,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_555","B1_vs_B2","C-KD","ENSG00000262334.6"
"GL383574.1",27896,28254,359,28004,4,2.24863,2.36966,0,"B1_vs_B2_peak_576","B1_vs_B2","C-KD","ENSG00000262860.5"
"GL383574.1",29363,29661,299,29455,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_577","B1_vs_B2","C-KD","ENSG00000262860.5"
"GL383574.1",123919,124282,364,124155,11,3.42896,2.60738,0.313488,"B1_vs_B2_peak_582","B1_vs_B2","C-KD","ENSG00000279389.3"
"GL383581.2",14858,15200,343,15004,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_589","B1_vs_B2","C-KD","ENSG00000262795.5"
"GL383581.2",20499,20863,365,20743,7,4.66863,3.79146,0.931067,"B1_vs_B2_peak_590","B1_vs_B2","C-KD","ENSG00000262795.5"
"GL383581.2",39852,40236,385,40043,8,5.31124,4.08947,1.32489,"B1_vs_B2_peak_591","B1_vs_B2","C-KD","ENSG00000262795.5"
"GL877875.1",107352,107617,266,107505,4,2.24863,2.36966,0,"B1_vs_B2_peak_599","B1_vs_B2","C-KD","ENSG00000262607.5"
"GL877875.1",139348,139629,282,139597,4,2.1098,2.27193,0,"B1_vs_B2_peak_601","B1_vs_B2","C-KD","ENSG00000262607.5"
"GL877875.1",153462,153727,266,153714,5,2.82244,2.72631,0.0678765,"B1_vs_B2_peak_602","B1_vs_B2","C-KD","ENSG00000262607.5"
"GL949747.2",144749,145181,433,144980,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_618","B1_vs_B2","C-KD","ENSG00000276260.1"
"KI270706.1",97901,98209,309,98034,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_679","B1_vs_B2","C-KD","ENSG00000293919.1"
"KI270706.1",124162,124499,338,124265,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_680","B1_vs_B2","C-KD","ENSG00000293919.1"
"KI270706.1",125203,125628,426,125237,4,2.24863,2.36966,0,"B1_vs_B2_peak_681","B1_vs_B2","C-KD","ENSG00000293919.1"
"KI270741.1",51441,51783,343,51606,6,3.44818,3.07987,0.323048,"B1_vs_B2_peak_765","B1_vs_B2","C-KD","ENSG00000299200.1"
"KI270741.1",79651,79955,305,79802,6,3.59846,3.1807,0.414095,"B1_vs_B2_peak_766","B1_vs_B2","C-KD","ENSG00000299200.1"
"KI270742.1",47782,48047,266,47854,4,2.1098,2.27193,0,"B1_vs_B2_peak_768","B1_vs_B2","C-KD","ENSG00000306402.1"
"KI270742.1",49781,50046,266,49983,5,1.97771,2.13852,0,"B1_vs_B2_peak_769","B1_vs_B2","C-KD","ENSG00000306402.1"
"KI270743.1",118870,119135,266,119035,4,2.14525,2.29699,0,"B1_vs_B2_peak_775","B1_vs_B2","C-KD","ENSG00000307061.1"
"KI270744.1",130170,130526,357,130313,5,2.06314,2.19851,0,"B1_vs_B2_peak_776","B1_vs_B2","C-KD","ENSG00000307470.1"
"KI270759.1",52118,52383,266,52157,4,2.1098,2.27193,0,"B1_vs_B2_peak_818","B1_vs_B2","C-KD","ENSG00000281216.1"
"KI270759.1",58075,58468,394,58242,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_819","B1_vs_B2","C-KD","ENSG00000281216.1"
"KI270759.1",267083,267560,478,267396,9,4.70099,3.5642,0.931067,"B1_vs_B2_peak_820","B1_vs_B2","C-KD","ENSG00000281216.1"
"KI270759.1",273038,273379,342,273121,4,2.24863,2.36966,0,"B1_vs_B2_peak_822","B1_vs_B2","C-KD","ENSG00000281216.1"
"KI270759.1",280786,281133,348,280985,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_823","B1_vs_B2","C-KD","ENSG00000281216.1"
"KI270759.1",381265,381585,321,381433,7,4.43009,3.63508,0.851576,"B1_vs_B2_peak_824","B1_vs_B2","C-KD","ENSG00000281216.1"
"KI270762.1",19242,19749,508,19474,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_830","B1_vs_B2","C-KD","ENSG00000276429.3"
"KI270762.1",21110,21375,266,21259,4,2.24863,2.36966,0,"B1_vs_B2_peak_831","B1_vs_B2","C-KD","ENSG00000276429.3"
"KI270762.1",44744,45046,303,44794,4,2.24863,2.36966,0,"B1_vs_B2_peak_832","B1_vs_B2","C-KD","ENSG00000276429.3"
"KI270762.1",50431,50696,266,50602,5,1.97771,2.13852,0,"B1_vs_B2_peak_833","B1_vs_B2","C-KD","ENSG00000276429.3"
"KI270762.1",106057,106322,266,106207,10,3.44649,2.70006,0.323048,"B1_vs_B2_peak_838","B1_vs_B2","C-KD","ENSG00000281197.2"
"KI270762.1",335652,335965,314,335816,7,4.37043,3.59584,0.819877,"B1_vs_B2_peak_845","B1_vs_B2","C-KD","ENSG00000275571.2"
"KI270763.1",150758,151023,266,150799,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_849","B1_vs_B2","C-KD","ENSG00000276725.4"
"KI270763.1",185891,186457,567,186309,8,3.94948,3.20778,0.545882,"B1_vs_B2_peak_850","B1_vs_B2","C-KD","ENSG00000276725.4"
"KI270763.1",257980,258245,266,258070,4,2.24863,2.36966,0,"B1_vs_B2_peak_851","B1_vs_B2","C-KD","ENSG00000276725.4"
"KI270763.1",259047,259312,266,259248,5,2.82244,2.72631,0.0678765,"B1_vs_B2_peak_852","B1_vs_B2","C-KD","ENSG00000276725.4"
"KI270763.1",352608,352946,339,352692,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_853","B1_vs_B2","C-KD","ENSG00000276111.3"
"KI270763.1",485334,485978,645,485574,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_856","B1_vs_B2","C-KD","ENSG00000276111.3"
"KI270763.1",642301,642578,278,642328,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_858","B1_vs_B2","C-KD","ENSG00000275199.4"
"KI270763.1",657661,657945,285,657704,7,3.24183,2.85136,0.206141,"B1_vs_B2_peak_859","B1_vs_B2","C-KD","ENSG00000275199.4"
"KI270763.1",712451,712716,266,712564,4,2.24863,2.36966,0,"B1_vs_B2_peak_860","B1_vs_B2","C-KD","ENSG00000275199.4"
"KI270763.1",760913,761194,282,761077,9,2.38596,2.16856,0,"B1_vs_B2_peak_861","B1_vs_B2","C-KD","ENSG00000275199.4"
"KI270763.1",761898,762163,266,761993,4,2.24863,2.36966,0,"B1_vs_B2_peak_862","B1_vs_B2","C-KD","ENSG00000275199.4"
"KI270763.1",804523,804871,349,804740,8,3.94948,3.20778,0.545882,"B1_vs_B2_peak_863","B1_vs_B2","C-KD","ENSG00000275199.4"
"KI270769.1",71169,71563,395,71418,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_888","B1_vs_B2","C-KD","ENSG00000274891.3"
"KI270769.1",82939,83204,266,83108,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_889","B1_vs_B2","C-KD","ENSG00000274891.3"
"KI270777.1",92637,92921,285,92877,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_907","B1_vs_B2","C-KD","ENSG00000277101.4"
"KI270777.1",163453,163757,305,163544,6,2.43669,2.39624,0,"B1_vs_B2_peak_908","B1_vs_B2","C-KD","ENSG00000277101.4"
"KI270792.1",107613,107984,372,107861,8,3.75131,3.08088,0.470039,"B1_vs_B2_peak_956","B1_vs_B2","C-KD","ENSG00000276482.3"
"KI270792.1",112562,112827,266,112713,4,2.24863,2.36966,0,"B1_vs_B2_peak_957","B1_vs_B2","C-KD","ENSG00000276482.3"
"KI270792.1",126477,126764,288,126667,10,3.9089,2.96614,0.535219,"B1_vs_B2_peak_958","B1_vs_B2","C-KD","ENSG00000276482.3"
"KI270792.1",127987,128385,399,128184,12,3.08191,2.35755,0.114713,"B1_vs_B2_peak_959","B1_vs_B2","C-KD","ENSG00000276482.3"
"KI270795.1",83798,84103,306,83951,5,2.43441,2.45808,0,"B1_vs_B2_peak_970","B1_vs_B2","C-KD","ENSG00000290534.1"
"KI270795.1",84866,85133,268,85049,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_971","B1_vs_B2","C-KD","ENSG00000290534.1"
"KI270801.1",402773,403135,363,402909,5,2.43441,2.45808,0,"B1_vs_B2_peak_1001","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",539886,540151,266,540142,4,2.24863,2.36966,0,"B1_vs_B2_peak_1002","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",557399,557799,401,557550,26,5.24489,2.46999,1.29766,"B1_vs_B2_peak_1003","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",717833,718141,309,717901,4,2.24863,2.36966,0,"B1_vs_B2_peak_1005","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",736190,736455,266,736327,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1006","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",809454,809805,352,809560,4,2.24863,2.36966,0,"B1_vs_B2_peak_1007","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",813919,814495,577,814275,12,3.08191,2.35755,0.114713,"B1_vs_B2_peak_1008","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",815529,815906,378,815728,4,2.24863,2.36966,0,"B1_vs_B2_peak_1009","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",832864,833239,376,833100,19,6.40474,3.30947,1.99468,"B1_vs_B2_peak_1010","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270801.1",858257,858569,313,858372,25,4.80222,2.37851,1.00701,"B1_vs_B2_peak_1012","B1_vs_B2","C-KD","ENSG00000273993.4"
"KI270809.1",57147,57445,299,57303,6,3.80352,3.31752,0.470039,"B1_vs_B2_peak_1061","B1_vs_B2","C-KD","ENSG00000290511.1"
"KI270809.1",96356,97041,686,96812,16,5.26067,3.08295,1.29766,"B1_vs_B2_peak_1064","B1_vs_B2","C-KD","ENSG00000290511.1"
"KI270809.1",99883,100285,403,100136,11,3.69452,2.75092,0.470039,"B1_vs_B2_peak_1065","B1_vs_B2","C-KD","ENSG00000290511.1"
"KI270809.1",101973,102409,437,102167,5,2.77957,2.69688,0.0678765,"B1_vs_B2_peak_1066","B1_vs_B2","C-KD","ENSG00000290511.1"
"KI270809.1",106848,107113,266,107079,4,2.24863,2.36966,0,"B1_vs_B2_peak_1067","B1_vs_B2","C-KD","ENSG00000290511.1"
"KI270816.1",92497,92924,428,92683,20,3.93587,2.30123,0.545882,"B1_vs_B2_peak_1096","B1_vs_B2","C-KD","ENSG00000278016.2"
"KI270816.1",291914,292273,360,292041,11,3.41945,2.60227,0.308719,"B1_vs_B2_peak_1108","B1_vs_B2","C-KD","ENSG00000274287.4"
"KI270817.1",4681,4946,266,4859,5,2.30092,2.365,0,"B1_vs_B2_peak_1110","B1_vs_B2","C-KD","ENSG00000282681.1"
"KI270821.1",9740,10070,331,9997,6,2.52634,2.45683,0,"B1_vs_B2_peak_1133","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",26122,26572,451,26337,5,1.97771,2.13852,0,"B1_vs_B2_peak_1134","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",36946,37365,420,37113,6,2.43669,2.39624,0,"B1_vs_B2_peak_1135","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",55092,55476,385,55299,16,10.9267,6.05914,5.07919,"B1_vs_B2_peak_1136","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",56751,57066,316,56973,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1137","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",64159,64683,525,64210,9,2.38596,2.16856,0,"B1_vs_B2_peak_1138","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",70313,70797,485,70545,6,2.58268,2.49494,0,"B1_vs_B2_peak_1139","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",141501,141766,266,141743,12,3.08191,2.35755,0.114713,"B1_vs_B2_peak_1141","B1_vs_B2","C-KD","ENSG00000274726.4"
"KI270821.1",158053,158433,381,158306,8,2.70906,2.42685,0.0372868,"B1_vs_B2_peak_1142","B1_vs_B2","C-KD","ENSG00000282334.1"
"KI270821.1",178634,179080,447,178681,5,1.97771,2.13852,0,"B1_vs_B2_peak_1143","B1_vs_B2","C-KD","ENSG00000273645.2"
"KI270825.1",74923,75370,448,75150,6,2.58268,2.49494,0,"B1_vs_B2_peak_1179","B1_vs_B2","C-KD","ENSG00000274429.2"
"KI270825.1",126901,127178,278,126925,5,1.97771,2.13852,0,"B1_vs_B2_peak_1183","B1_vs_B2","C-KD","ENSG00000274429.2"
"KI270831.1",12253,12655,403,12288,5,2.43441,2.45808,0,"B1_vs_B2_peak_1193","B1_vs_B2","C-KD","ENSG00000282076.1"
"KI270831.1",36754,37208,455,37162,11,2.6081,2.1762,0,"B1_vs_B2_peak_1194","B1_vs_B2","C-KD","ENSG00000282076.1"
"KI270831.1",69724,69989,266,69823,4,2.24863,2.36966,0,"B1_vs_B2_peak_1195","B1_vs_B2","C-KD","ENSG00000282076.1"
"KI270832.1",117700,118007,308,117874,11,4.30931,3.0913,0.774546,"B1_vs_B2_peak_1209","B1_vs_B2","C-KD","ENSG00000274780.2"
"KI270832.1",131862,132127,266,132022,4,2.24863,2.36966,0,"B1_vs_B2_peak_1210","B1_vs_B2","C-KD","ENSG00000274780.2"
