"chr","start","end","length","abs_summit","pileup","X.log10.pvalue.","fold_enrichment","X.log10.qvalue.","name","sample","group","GENE_ID"
"GL000008.2",117788,118047,260,117923,4.51,1.97212,2.39748,0,"B2_vs_B1_peak_3","B2_vs_B1","KD-C","ENSG00000296732.1"
"GL000008.2",126550,126906,357,126717,6.32,3.60879,3.33328,0,"B2_vs_B1_peak_4","B2_vs_B1","KD-C","ENSG00000296732.1"
"GL000008.2",144001,144478,478,144223,4.51,2.11678,2.51102,0,"B2_vs_B1_peak_5","B2_vs_B1","KD-C","ENSG00000296732.1"
"GL000008.2",153039,153298,260,153236,8.13,3.50173,2.96284,0,"B2_vs_B1_peak_6","B2_vs_B1","KD-C","ENSG00000296732.1"
"GL000009.2",19935,20400,466,20249,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_9","B2_vs_B1","KD-C","ENSG00000297619.1"
"GL000009.2",63442,64010,569,63779,7.22,2.95718,2.73908,0,"B2_vs_B1_peak_10","B2_vs_B1","KD-C","ENSG00000306721.1"
"GL000009.2",80382,80730,349,80491,8.13,2.55374,2.36413,0,"B2_vs_B1_peak_11","B2_vs_B1","KD-C","ENSG00000306721.1"
"GL000009.2",100873,101210,338,101017,6.32,2.70442,2.69509,0,"B2_vs_B1_peak_12","B2_vs_B1","KD-C","ENSG00000306721.1"
"GL000009.2",109272,109570,299,109421,9.03,4.23781,3.28369,0.000255896,"B2_vs_B1_peak_13","B2_vs_B1","KD-C","ENSG00000306721.1"
"GL000194.1",81878,82199,322,82029,8.13,2.41987,2.28139,0,"B2_vs_B1_peak_26","B2_vs_B1","KD-C","ENSG00000277400.1"
"GL000195.1",81092,81428,337,81239,7.22,4.73836,3.94381,0.188214,"B2_vs_B1_peak_28","B2_vs_B1","KD-C","ENSG00000303853.1"
"GL000205.2",70512,70780,269,70564,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_29","B2_vs_B1","KD-C","ENSG00000307088.1"
"GL000205.2",77999,78415,417,78216,6.32,2.34354,2.43996,0,"B2_vs_B1_peak_30","B2_vs_B1","KD-C","ENSG00000307088.1"
"GL000214.1",45465,45972,508,45723,5.42,1.78085,2.13901,0,"B2_vs_B1_peak_36","B2_vs_B1","KD-C","ENSG00000303173.1"
"GL000214.1",64214,64592,379,64426,18.96,3.88655,2.49495,0,"B2_vs_B1_peak_37","B2_vs_B1","KD-C","ENSG00000303173.1"
"GL000214.1",86973,87363,391,87277,4.51,1.97212,2.39748,0,"B2_vs_B1_peak_38","B2_vs_B1","KD-C","ENSG00000303173.1"
"GL000214.1",93640,93989,350,93838,6.32,2.2537,2.37658,0,"B2_vs_B1_peak_39","B2_vs_B1","KD-C","ENSG00000303173.1"
"GL000214.1",94470,94729,260,94681,7.22,2.85371,2.66971,0,"B2_vs_B1_peak_40","B2_vs_B1","KD-C","ENSG00000303173.1"
"GL000218.1",13453,13759,307,13581,8.13,5.64036,4.36212,0.716457,"B2_vs_B1_peak_68","B2_vs_B1","KD-C","ENSG00000301761.1"
"GL000218.1",20573,20945,373,20723,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_69","B2_vs_B1","KD-C","ENSG00000301761.1"
"GL000219.1",55083,55461,379,55332,9.03,4.19326,3.25597,0,"B2_vs_B1_peak_73","B2_vs_B1","KD-C","ENSG00000296581.1"
"GL000221.1",61881,62140,260,61973,7.22,3.1803,2.88922,0,"B2_vs_B1_peak_101","B2_vs_B1","KD-C","ENSG00000304745.1"
"GL000225.1",186011,186578,568,186193,6.32,3.02019,2.91861,0,"B2_vs_B1_peak_155","B2_vs_B1","KD-C","ENSG00000302961.1"
"GL000254.2",3451274,3451574,301,3451415,5.42,2.7845,2.88795,0,"B2_vs_B1_peak_221","B2_vs_B1","KD-C","ENSG00000206258.12"
"GL383555.2",249126,249385,260,249149,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_281","B2_vs_B1","KD-C","ENSG00000277848.4"
"GL383563.3",57358,57855,498,57597,27.99,3.68963,2.07057,0,"B2_vs_B1_peak_283","B2_vs_B1","KD-C","ENSG00000282518.1"
"GL383563.3",234990,235333,344,235100,8.13,2.41987,2.28139,0,"B2_vs_B1_peak_285","B2_vs_B1","KD-C","ENSG00000262334.6"
"GL383563.3",274299,274643,345,274458,10.83,2.54672,2.36681,0,"B2_vs_B1_peak_286","B2_vs_B1","KD-C","ENSG00000262334.6"
"GL383563.3",307582,307850,269,307722,10.83,3.53412,2.95852,0,"B2_vs_B1_peak_287","B2_vs_B1","KD-C","ENSG00000262334.6"
"GL582966.2",28856,29171,316,28885,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_302","B2_vs_B1","KD-C","ENSG00000276734.4"
"JH636055.2",74976,75243,268,75182,7.22,4.73836,3.94381,0.188214,"B2_vs_B1_peak_322","B2_vs_B1","KD-C","ENSG00000266576.1"
"KI270706.1",17159,17456,298,17247,7.22,4.57678,3.83522,0.188214,"B2_vs_B1_peak_396","B2_vs_B1","KD-C","ENSG00000293939.1"
"KI270706.1",63603,63862,260,63778,4.51,2.11678,2.51102,0,"B2_vs_B1_peak_397","B2_vs_B1","KD-C","ENSG00000293939.1"
"KI270717.1",33031,33438,408,33096,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_447","B2_vs_B1","KD-C","ENSG00000310401.1"
"KI270719.1",149852,150213,362,150066,6.32,3.4458,3.21894,0,"B2_vs_B1_peak_454","B2_vs_B1","KD-C","ENSG00000297972.1"
"KI270734.1",155081,155398,318,155103,9.93,2.08979,2.18625,0,"B2_vs_B1_peak_539","B2_vs_B1","KD-C","ENSG00000277196.4"
"KI270741.1",124135,124394,260,124229,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_551","B2_vs_B1","KD-C","ENSG00000299200.1"
"KI270742.1",36333,36658,326,36434,5.42,1.78085,2.13901,0,"B2_vs_B1_peak_552","B2_vs_B1","KD-C","ENSG00000306402.1"
"KI270742.1",67065,67619,555,67468,9.03,3.1114,2.59803,0,"B2_vs_B1_peak_553","B2_vs_B1","KD-C","ENSG00000306402.1"
"KI270742.1",70115,70374,260,70235,9.03,3.42521,2.78567,0,"B2_vs_B1_peak_554","B2_vs_B1","KD-C","ENSG00000306402.1"
"KI270742.1",78860,79119,260,78990,4.51,1.97212,2.39748,0,"B2_vs_B1_peak_555","B2_vs_B1","KD-C","ENSG00000306402.1"
