"","chr","start","end","GENE_ID"
"1","GL000009.2",100873,101065,"ENSG00000306721.1"
"2","GL000216.2",106502,106800,NA
"3","GL000218.1",140403,140409,NA
"4","GL000251.2",4688762,4689172,"ENSG00000226936.4"
"5","GL000256.2",942159,942442,NA
"6","GL949750.2",1062491,1062604,NA
"7","JH636055.2",74976,75186,"ENSG00000266576.1"
"8","KI270442.1",219589,219766,NA
"9","KI270590.1",1853,2077,NA
"10","KI270723.1",34125,34361,NA
"11","KI270728.1",165870,166003,NA
"12","KI270728.1",1097887,1098064,NA
"13","KI270728.1",1702362,1702546,NA
"14","KI270728.1",1792225,1792646,NA
"15","KI270729.1",186542,186950,NA
"16","KI270742.1",67065,67118,"ENSG00000306402.1"
"17","KI270746.1",33962,34305,"ENSG00000297432.1"
"18","KI270754.1",24202,24595,NA
"19","KI270762.1",258255,258478,"ENSG00000275571.2"
"20","KI270792.1",157988,158346,NA
"21","KI270832.1",194546,194766,"ENSG00000282712.1"
"22","KI270847.1",1055943,1056281,"ENSG00000278693.3"
"23","KI270853.1",750229,750365,"ENSG00000290489.1"
"24","KI270857.1",2374892,2375159,"ENSG00000276469.1"
"25","KI270894.1",44235,44605,NA
"26","KI270905.1",230449,230842,"ENSG00000277361.2"
"27","KI270905.1",3682766,3683128,NA
"28","KI270907.1",88259,88336,"ENSG00000282013.1"
"29","KN196472.1",154160,154719,NA
"30","KQ031389.1",2343134,2343401,NA
"31","KQ759762.2",80014,80161,"ENSG00000291368.1"
"32","KV880768.1",872266,872314,"ENSG00000284161.3"
"33","KZ208912.1",217946,218291,NA
"34","KZ208912.1",523459,523649,"ENSG00000284866.1"
"35","KZ208913.1",133102,133418,NA
"36","ML143371.1",3105226,3105320,NA
"37","MU273333.1",710178,710385,"ENSG00000292230.1"
"38","MU273353.1",110704,110963,"ENSG00000291746.1"
"39","MU273366.1",314133,314242,NA
"40","chr1",2679150,2679196,"ENSG00000215912.13"
"41","chr1",4078337,4078392,"ENSG00000284668.3"
"42","chr1",5671732,5671962,"ENSG00000289893.2"
"43","chr1",6962816,6963507,"ENSG00000171735.21"
"44","chr1",12529413,12529672,"ENSG00000229484.4"
