gene_id	gene_name	A_1	A_2	A_3	A_4	A_5	A_6	B_1	B_2	B_3	B_4	B_5	B_6	C_1	C_2	C_3	C_4	C_5	C_6
ENSG00000000003.16	TSPAN6	39.194321	34.610824	40.899359	46.436176	42.273723	49.042459	16.976067	12.505221	16.06184	18.274479	14.02904	17.664084	15.295195	12.060283	14.954358	17.099109	18.76007	23.640613
ENSG00000000005.6	TNMD	0	0	0	0	0.063047	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	65.149765	64.170877	73.491987	60.858629	73.481697	64.218747	83.113895	86.343934	83.277174	69.138521	80.649874	84.25988	61.963944	61.641284	65.648756	44.324306	48.479904	55.237858
ENSG00000000457.14	SCYL3	4.207668	4.878393	4.018119	4.022304	4.409613	3.635878	3.535382	3.327943	3.447957	4.02192	3.400564	3.050455	3.376044	3.4736	3.053876	2.005132	2.655038	2.735397
ENSG00000000460.17	FIRRM	3.319806	3.104763	4.187347	2.757339	2.960352	2.697094	7.554229	6.432557	7.748116	7.987989	6.687344	7.439497	6.201451	4.372731	6.61094	2.165374	2.275365	2.973764
ENSG00000000938.13	FGR	0.135637	0.27205	0.373582	0.120331	0.307365	0.115282	0.393879	0	0.195711	0.083313	0.021156	0.090474	0.099879	0.174439	0.215885	0.028456	0.027101	0.117994
ENSG00000000971.17	CFH	9.823471	7.497327	10.622003	9.065817	10.038158	12.599785	12.781766	10.344667	12.023566	15.020213	13.353835	11.819114	9.51962	8.280089	5.77988	3.719491	5.130619	5.878435
ENSG00000001036.14	FUCA2	36.776687	49.821277	42.686485	33.749998	46.114162	39.13503	71.748495	80.397059	65.772973	63.578833	75.277683	61.609975	41.646961	60.982849	42.943223	23.315615	38.196023	24.916915
ENSG00000001084.13	GCLC	30.781922	24.920389	29.987574	26.452572	23.991863	28.369462	25.285409	18.632659	16.672406	22.7583	17.376824	19.216605	20.7954	16.783083	22.377733	16.133137	12.297714	18.135922
ENSG00000001167.15	NFYA	14.695217	17.244089	15.493566	12.580304	19.084853	15.584225	12.14492	13.911763	15.439072	11.606538	16.554764	15.131069	11.767281	17.262158	20.554017	15.74056	24.575313	22.603519
ENSG00000001460.18	STPG1	3.132459	3.503711	3.410052	4.265481	4.859426	2.772218	6.92662	4.444998	5.357777	7.200777	6.80594	4.26374	5.916292	5.839574	4.692005	9.081092	6.759617	4.727434
ENSG00000001461.17	NIPAL3	22.271829	20.663992	20.145016	20.09791	16.935651	18.730363	10.842966	11.961214	13.150089	14.803929	9.901751	11.819662	16.729846	17.363981	12.176361	17.49063	17.868473	13.474462
ENSG00000001497.18	LAS1L	15.367861	13.961509	13.949225	14.856114	15.263806	15.07025	27.228076	27.227886	25.929714	24.315814	25.720616	26.193774	19.61965	18.013214	20.649732	16.851059	15.707083	14.475287
ENSG00000001561.7	ENPP4	0.094644	0.132825	0.08857	0.08003	0.171704	0.164234	0.907355	0.733678	0.748646	0.556026	0.401019	0.518515	0.129435	0.176561	0.233946	0.103239	0.043524	0.11078
ENSG00000001617.12	SEMA3F	15.615989	22.018702	26.313288	9.968882	13.549541	19.066221	36.19884	53.333871	47.129155	29.601376	38.387047	39.649686	19.574621	28.434794	27.903867	44.310045	42.71107	30.862533
ENSG00000001626.18	CFTR	0	0	0	0	0	0	0.018599	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629.10	ANKIB1	20.451657	24.997793	15.052523	19.168517	20.663904	13.632499	21.959295	21.258861	15.204248	23.568468	20.255346	15.745797	24.158746	23.038536	15.396241	25.615648	28.750968	15.664016
