gene_id	gene_name	A_1	A_2	A_3	A_4	A_5	A_6	B_1	B_2	B_3	B_4	B_5	B_6	C_1	C_2	C_3	C_4	C_5	C_6
ENSG00000000003.16	TSPAN6	1918	1787.999	2481	2628	2106	3009	849	629	820.999	1011	771	877.001	901	785	744	881	1068	1301
ENSG00000000005.6	TNMD	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	872	973	1196.661	956.929	1001.485	1075.263	1382.657	1399.001	1340	1144.001	1297	1269.647	1045.135	1097.429	968.444	737.806	833.117	912
ENSG00000000457.14	SCYL3	244.425	315.071	302.415	284.288	267.569	260.418	252.326	259.199	231.448	252.959	234.035	170.442	215.68	258.397	197.622	156.758	194.818	175.401
ENSG00000000460.17	FIRRM	89.574	114.93	148.585	109.711	115.432	149.581	319.675	256.801	301.552	296.041	268.965	252.558	206.32	156.603	222.379	94.242	80.183	127.6
ENSG00000000938.13	FGR	4	9	16	5	11	5	11	0	7	3	1	3	5	8	7	1	1	1
ENSG00000000971.17	CFH	482.955	492.122	632.426	546.982	547.001	771.999	798.055	684.418	844.141	1020.702	774.783	758.246	697.736	532.887	350.104	234.928	299.897	332.002
ENSG00000001036.14	FUCA2	1292.8	1975.626	1851.048	1422.031	1674.304	1703.562	3039.443	3408.033	2821.183	2721.523	3140.391	2460.101	1832.246	2839.794	1623.239	983.756	1688.814	1087.588
ENSG00000001084.13	GCLC	1458.001	1299	1823	1519.002	1254	1803.998	1202.001	1025	1005	1265.001	910.001	1004.999	1319	1027	1192.995	859.001	709.001	1077.001
ENSG00000001167.15	NFYA	1023	1340.78	1397	1005	1139.991	1370	1101	1165.985	1171.942	1009	1320.814	1172	1053	1487	1522	1238.904	2055	2065
ENSG00000001460.18	STPG1	123.002	144.001	162.001	157	130	130	294.017	211	231.03	328	273.999	163	263	289	181	381	321	206.999
ENSG00000001461.17	NIPAL3	1777.998	1796	2012.999	1928.999	1437.001	1897	965.982	944	1007.969	1274.999	857	929.001	1557	1546	1024	1478	1584.999	1282
